gene_id	surface_apicoplast_log2fc	surface_apicoplast_stringent	surface_mitochondrion_log2fc	surface_mitochondrion_stringent	surface_er_log2fc	surface_er_stringent
TGME49_200280	2.807354922	1				
TGME49_201270	2.584962501	0				
TGME49_201380	3	0	3.415037499	0	3.273018494	0
TGME49_201680	2.874469118	0			2.321928095	0
TGME49_201700	4.222392421	0	2.662965013	0	3.36923381	0
TGME49_201760	0.447458977	0	2.938599455	0	1.137503524	0
TGME49_202070	3.222392421	0				
TGME49_202190	3.36923381	1				
TGME49_202550	1	0	3.736965594	0	1.137503524	0
TGME49_202690	1.415037499	0				
TGME49_203240	5.073248982	1	1.415037499	0	2.728928275	1
TGME49_203310	2.415037499	0			2	0
TGME49_203390	4.087462841	0	3.736965594	0	3.736965594	0
TGME49_203910	3.807354922	1	1.584962501	0		
TGME49_204020	0.158697746	0	0.3504972471	0	0.3388019135	0
TGME49_204060	4.36923381	1			3.624490865	0
TGME49_204400	2.874469118	0	1.857980995	0	2.222392421	0
TGME49_205040	4.938599455	1			6.380821784	1
TGME49_205240	3.736965594	1			3.906890596	0
TGME49_205380	3.906890596	0	3	0	3.584962501	0
TGME49_205470	3.906890596	0	3.137503524	0	4.058893689	0
TGME49_205740	3.018859027	1			3.736965594	0
TGME49_206450	4.89077093	0	4.700439718	0	1.584962501	0
TGME49_206590	2.584962501	1			2.415037499	0
TGME49_206610	2.874469118	0				
TGME49_206690	2.115477217	0	1.777607579	0	1.584962501	0
TGME49_207060	2.584962501	0	2.115477217	0	2.415037499	0
TGME49_207370	3.415037499	0			5.142957954	0
TGME49_207440	0.9198296513	0	0.4059923597	0	0.6147098441	0
TGME49_208050	0.2479275134	0				
TGME49_208560	2	0				
TGME49_209030	0.6076825772	0	0.3703684499	0	0.8328900142	0
TGME49_209250	1.222392421	0			3.624490865	0
TGME49_209420	2.502500341	0	2.222392421	0	2.874469118	0
TGME49_209450	3.736965594	1	3.700439718	0	3.36923381	0
TGME49_209600	3.058893689	0	2.807354922	0	3.321928095	0
TGME49_209910	0.5405683814	0	0.5145731728	0	0.2995602819	0
TGME49_210270	4.392317423	1				
TGME49_210380	2	1			3.36923381	0
TGME49_210690	1.652076697	0	0.4974996595	0	2.280107919	0
TGME49_210700	5.029747343	0	4.222392421	0	5.437405312	0
TGME49_212260	1.874469118	0				
TGME49_213392	5.058893689	1			4.169925001	0
TGME49_213790	2.222392421	0			4.273018494	0
TGME49_214080	2.736965594	0				
TGME49_214090	2.807354922	0			2.662965013	0
TGME49_214180	4.95419631	0	4.89077093	0	4.321928095	0
TGME49_214220	0.8073549221	0	1.099535674	0	1.402098444	0
TGME49_214270	3.459431619	0	2.321928095	0	2.938599455	0
TGME49_214440	1.415037499	0			2	0
TGME49_214600	5.403722186	1			6.409390936	1
TGME49_214880	2.544320516	0	2.807354922	0	1.353636955	0
TGME49_214970	3.874469118	0	2.662965013	0		
TGME49_215380	4	0	3	0	3.169925001	0
TGME49_215420	2.222392421	1	2.222392421	0	2	0
TGME49_215460	0.2439255829	0	0.07400058144	0	0.5343364277	0
TGME49_215700	4.437405312	1	3.544320516	0		
TGME49_215775	2.321928095	0				
TGME49_215980	1.584962501	0	2	0	1.874469118	0
TGME49_216000	0.5246619905	0	0.7343401248	0	0.5631361383	0
TGME49_216070	1.736965594	0			2.662965013	0
TGME49_216620	1.584962501	0			3.624490865	0
TGME49_216670	2.115477217	0	1.584962501	0	3.874469118	0
TGME49_216810	4.662965013	0	4.247927513	0	4.68182404	0
TGME49_216860	1.736965594	0			1.222392421	0
TGME49_217510	1.309328058	0	1.419538892	0	0.9448584458	0
TGME49_217740	1.857980995	0	3.36923381	0	1.362570079	0
TGME49_218560	-0.72038271	0				
TGME49_219270	1.662965013	0	2.491853096	0	1.584962501	0
TGME49_219320	0.8930847961	0	1.857980995	0	2.440572591	0
TGME49_219460	2.115477217	0				
TGME49_219850	1.736965594	0	4.247927513	0		
TGME49_220230	2.502500341	0				
TGME49_220270	0.4893848407	0	1.043501639	0	0.5647846188	0
TGME49_220510	0.8479969066	0	2.201633861	0		
TGME49_221480	2.115477217	0			1.736965594	0
TGME49_221620	0.6835263352	0	0.588804567	0	0.9355512923	0
TGME49_221870	3.459431619	1			2.662965013	0
TGME49_222020	2.415037499	0				
TGME49_222070	2.415037499	0				
TGME49_222220	0.4739311883	0	0.7548875022	0	1.021695071	0
TGME49_222960	2.321928095	1			1.222392421	0
TGME49_223050	1.584962501	0				
TGME49_223420	2.321928095	0	2.321928095	0	2.115477217	0
TGME49_223790	2	0	3.459431619	0	0.2630344058	0
