gene_id	chromprox_hp1_log2fc	chromprox_hp1_hit	chromprox_h3k27ac_log2fc	chromprox_h3k27ac_hit	chromprox_h3k4me3_log2fc	chromprox_h3k4me3_hit	chromprox_centromere_log2fc	chromprox_centromere_hit
PF3D7_1308400	2.50139	1	1.66731	1	1.00783	1	0.239368	0
PF3D7_0629700	5.16075	1	3.74399	1	1.14528	1	0.351298	0
PF3D7_0910200	5.3434	1	0.501909	0	0.34492	0	0.617782	0
PF3D7_0613800	2.82033	1	0.871496	0	0.510031	0	0.796696	0
PF3D7_1239200	2.19227	1	1.11724	0	0.531202	0	0.571893	0
PF3D7_0624600	1.19897	0	1.8785	1	0.81495	1	0.700287	0
PF3D7_1228800	2.42303	1	1.60477	1	1.13194	1	0.391035	0
PF3D7_0827800	6.97506	1	0.608985	0	0.0259253	0	0.731897	0
PF3D7_1008000	6.23567	1	0.838951	0	0.378251	0	0.0560737	0
PF3D7_1451200	4.1802	1	1.67027	1	0.791339	0	0.39867	0
PF3D7_1023900	0.265891	0	2.12892	1	1.0389	1	0.574922	0
PF3D7_1468100	2.06245	1	0.68023	0	0.341581	0	0.429349	0
PF3D7_0110500	3.64848	1	1.79957	1	0.877192	1	0.466043	0
PF3D7_1021900	-0.408178	0	-0.524232	0	-0.132092	0	-0.499284	0
PF3D7_0715200	3.85494	1	0.409931	0	0.12387	0	0.336464	0
PF3D7_0604500	-0.521554	0	-0.528316	0	-0.0834064	0	-0.943384	0
PF3D7_1433400	1.58333	1	1.87656	1	0.916591	1	0.409051	0
PF3D7_0730500	4.06633	1	2.32104	1	0.983557	1	0.522199	0
PF3D7_1107800	3.38471	1	0.388027	0	0.160392	0	0.676561	0
PF3D7_1014900	0.647301	0	-0.797297	0	-0.121539	0	-0.889	0
PF3D7_1139300	2.2995	1	0.896549	0	0.429696	0	0.498324	0
PF3D7_1008100	0.246234	0	2.59905	1	1.32123	1	0.282241	0
PF3D7_0703500	-0.569466	0	-0.621412	0	-0.0624224	0	-0.812071	0
PF3D7_1460500	1.85263	1	0.721212	0	0.356968	0	0.761141	0
PF3D7_1107300	-0.625543	0	-0.543716	0	-0.0301037	0	-0.74473	0
PF3D7_0506500	7.24591	1	1.96877	1	1.48857	0	0.852703	0
PF3D7_0929400	0.0335757	0	-0.103826	0	-0.118302	0	0.00658347	0
PF3D7_1036900	-0.642344	0	-0.578331	0	0.0443503	0	-0.836695	0
PF3D7_0511500	-0.388343	0	-0.326684	0	-0.086359	0	-0.784041	0
PF3D7_0500800	-0.816526	0	-0.93848	0	-0.383723	0	0.176507	0
PF3D7_0726500	1.25934	0	0.620672	0	0.272949	0	0.172997	0
PF3D7_0704600	3.39883	1	0.550823	0	0.192616	0	-0.342845	0
PF3D7_0730900	-1.29096	0	-1.43124	0	-0.160278	0	0.0880444	0
PF3D7_1133200	2.77757	1	1.4518	0	0.761288	0	0.248867	0
PF3D7_1423700	-0.484431	0	-0.481008	0	0.000139236	0	-0.790379	0
PF3D7_0510100	-0.662319	0	-0.856546	0	-0.161218	0	-0.75928	0
PF3D7_1456000	7.60953	1	2.03171	1	0.501337	0	0.51702	0
PF3D7_1019000	-0.540987	0	-0.682683	0	-0.187582	0	-0.982447	0
PF3D7_1455700	4.82554	1	0.814847	0	0.419954	0	0.635513	0
PF3D7_1011800	-0.176011	0	-0.0853093	0	-0.0811653	0	-0.300942	0
PF3D7_1308200	-0.185306	0	-0.143834	0	0.00665601	0	-0.617004	0
PF3D7_0609000	-0.199787	0	-0.0338027	0	-0.182522	0	0.301161	0
PF3D7_1116800	-0.221265	0	-0.237939	0	-0.307363	0	-0.0250912	0
PF3D7_0523000	-0.26333	0	-0.187251	0	-0.211323	0	-0.372478	0
PF3D7_0504800	0.471578	0	-1.04619	0	-0.147118	0	-0.674055	0
PF3D7_0212500	0.277096	0	0.245724	0	0.0218455	0	0.627766	0
PF3D7_0604100	2.34293	1	1.37995	0	0.631497	0	0.519608	0
PF3D7_1442400	1.10731	0	-0.933812	0	-0.0738074	0	-0.701975	0
PF3D7_1239800	-0.0129153	0	-0.958195	0	-0.396666	0	-0.138361	0
PF3D7_1212700	-0.565908	0	-0.475895	0	-0.117447	0	0.00378746	0
PF3D7_0108300	-0.656302	0	-0.733046	0	-0.175505	0	-0.997414	0
PF3D7_1360700	4.95424	1	1.11376	0	0.340814	0	0.949948	0
PF3D7_0305500	-0.662374	0	-0.636288	0	-0.127993	0	-0.408277	0
PF3D7_0321800	6.26945	1	3.31275	1	0.971317	1	0.614121	0
PF3D7_1149000	-0.663986	0	-0.313549	0	-0.135977	0	0.227654	0
PF3D7_1122500	0.528355	0	-1.222	0	-0.271012	0	-0.613848	0
PF3D7_1004400	0.0311502	0	0.952738	0	0.463573	0	0.449752	0
PF3D7_0729100	-0.501588	0	-0.629032	0	-0.166419	0	0.874008	0
PF3D7_1359600	-0.621487	0	-0.673571	0	-0.114831	0	-0.912249	0
PF3D7_1110400	-0.834758	0	-0.561291	0	-0.117262	0	-0.314541	0
PF3D7_0529800	0.0493031	0	-1.32702	0	-0.375366	0	-0.679271	0
PF3D7_0529400	-0.747627	0	-0.873067	0	-0.0494207	0	2.21323	1
PF3D7_0508900	0.0771116	0	-0.703128	0	-0.143855	0	-0.888715	0
PF3D7_0513600	0.333488	0	0.514701	0	0.191676	0	0.744691	0
PF3D7_0919900	-0.129985	0	-0.672342	0	-0.176754	0	-0.848231	0
PF3D7_1462400	6.37945	1	1.76213	1	0.462705	0	0.446047	0
PF3D7_1303800	2.69626	1	4.41241	1	1.60378	1	0.17749	0
PF3D7_1013600	2.18304	1	1.10107	0	0.439302	0	0.511834	0
PF3D7_0727800	0.0545654	0	0.277125	0	0.151541	0	-0.532768	0
PF3D7_1140700	6.22095	1	0.791669	0	-0.0318788	0	0.521268	0
PF3D7_1224300	-0.695414	0	-0.528632	0	-0.115854	0	-0.629603	0
PF3D7_1234100	1.20059	0	2.45458	1	1.202	1	-0.011017	0
PF3D7_1252100	0.0255737	0	0.0213025	0	-0.0109965	0	0.000628529	0
PF3D7_0809900	6.98927	1	0.783663	0	0.260937	0		
