gene_id	febrile_phospho_max_abs_log2fc	febrile_phospho_n_sites_up	febrile_phospho_n_sites_down
PF3D7_0102200	0.770277	0	0
PF3D7_0102600	0.528657	0	0
PF3D7_0102800	0.166772	0	0
PF3D7_0103100	0.144116	0	0
PF3D7_0103200	0.376643	0	0
PF3D7_0103300	0.353857	0	0
PF3D7_0103400	0.0850487	0	0
PF3D7_0104300	0.474592	0	0
PF3D7_0104800	0.567178	0	0
PF3D7_0105200	0.0251818	0	0
PF3D7_0105700	0.475047	0	0
PF3D7_0105800	0.610952	0	0
PF3D7_0106000	0.439898	0	0
PF3D7_0106100	0.599652	0	0
PF3D7_0106300	0.668372	0	0
PF3D7_0106400	0.373922	0	0
PF3D7_0106700	0.283167	0	0
PF3D7_0107500	0.347452	0	0
PF3D7_0107800	0.191672	0	0
PF3D7_0108300	0.532792	0	0
PF3D7_0108500	0.246572	0	0
PF3D7_0108700	0.532473	0	0
PF3D7_0109000	0.180322	0	0
PF3D7_0109800	0.0368528	0	0
PF3D7_0110400	0.494292	0	0
PF3D7_0110500	0.416281	0	0
PF3D7_0110600	0.604273	0	0
PF3D7_0110700	0.567523	0	0
PF3D7_0111000	0.0477219	0	0
PF3D7_0111400	0.667103	0	0
PF3D7_0111500	0.661552	0	0
PF3D7_0111600	0.205173	0	0
PF3D7_0111800	0.360073	0	0
PF3D7_0112200	0.665723	0	0
PF3D7_0113000	0.722718	0	0
PF3D7_0113200	1.48808	8	0
PF3D7_0113700	0.00341797	0	0
PF3D7_0201500	0.200398	0	0
PF3D7_0201800	0.564808	0	0
PF3D7_0201900	0.833162	0	0
PF3D7_0202000	1.23967	1	1
PF3D7_0202100	0.289293	0	0
PF3D7_0202200	0.659853	0	0
PF3D7_0202400	0.675978	0	0
PF3D7_0202500	0.143442	0	0
PF3D7_0202600	0.616282	0	0
PF3D7_0203000	0.00806141	0	0
PF3D7_0203200	0.134768	0	0
PF3D7_0203300	0.113767	0	0
PF3D7_0204100	0.224762	0	0
PF3D7_0204700	0.905928	0	0
PF3D7_0205900	0.159462	0	0
PF3D7_0206000	0.440207	0	0
PF3D7_0206300	0.710547	0	0
PF3D7_0206700	0.199944	0	0
PF3D7_0207100	0.194493	0	0
PF3D7_0207500	0.387387	0	0
PF3D7_0208100	0.307716	0	0
PF3D7_0208200	0.384048	0	0
PF3D7_0208400	0.184213	0	0
PF3D7_0209100	0.550122	0	0
PF3D7_0209800	0.786497	0	0
PF3D7_0210200	0.149878	0	0
PF3D7_0210900	0.564377	0	0
PF3D7_0211700	0.179163	0	0
PF3D7_0211800	0.165322	0	0
PF3D7_0212100	0.818632	0	0
PF3D7_0212300	0.436603	0	0
PF3D7_0212400	0.420253	0	0
PF3D7_0212500	0.918178	0	0
PF3D7_0212800	1.47442	1	0
PF3D7_0212900	0.395177	0	0
PF3D7_0213700	0.140162	0	0
PF3D7_0214100	1.03562	0	1
PF3D7_0214300	0.260518	0	0
PF3D7_0214400	0.354757	0	0
PF3D7_0214800	0.312407	0	0
PF3D7_0215100	0.267781	0	0
PF3D7_0215300	0.744108	0	0
PF3D7_0215400	0.386748	0	0
PF3D7_0215600	0.668232	0	0
PF3D7_0215700	0.0484133	0	0
PF3D7_0215800	0.418193	0	0
PF3D7_0216600	0.0318727	0	0
PF3D7_0217500	0.769747	0	0
PF3D7_0217600	0.141633	0	0
PF3D7_0217700	0.137352	0	0
PF3D7_0217800	0.0275564	0	0
PF3D7_0218200	0.166862	0	0
PF3D7_0218500	0.564282	0	0
PF3D7_0218600	0.409408	0	0
PF3D7_0218700	0.365263	0	0
PF3D7_0219200	0.150867	0	0
PF3D7_0219400	0.126212	0	0
PF3D7_0219600	0.729077	0	0
PF3D7_0219700	0.428743	0	0
PF3D7_0220000	0.691318	0	0
PF3D7_0220100	1.131	1	0
PF3D7_0220200	0.0066967	0	0
PF3D7_0220300	1.26253	1	0
PF3D7_0220600	0.775152	0	0
PF3D7_0221200	0.563684	0	0
PF3D7_0301300	0.342212	0	0
PF3D7_0301600	0.819292	0	0
PF3D7_0301700	0.877083	0	0
PF3D7_0302000	0.0339766	0	0
PF3D7_0302100	0.691867	0	0
PF3D7_0302500	0.369409	0	0
PF3D7_0302800	0.378592	0	0
PF3D7_0302900	0.0218525	0	0
PF3D7_0303000	0.310892	0	0
PF3D7_0303100	0.753193	0	0
PF3D7_0303200	0.613717	0	0
PF3D7_0303300	0.161342	0	0
PF3D7_0303400	0.108652	0	0
PF3D7_0303500	0.434387	0	0
PF3D7_0304800	0.0521326	0	0
PF3D7_0305100	0.107497	0	0
PF3D7_0305200	0.698539	0	0
PF3D7_0305300	0.718342	0	0
PF3D7_0305500	0.399833	0	0
PF3D7_0305600	0.281697	0	0
PF3D7_0305700	0.146122	0	0
PF3D7_0306100	0.358107	0	0
PF3D7_0306200	0.233577	0	0
PF3D7_0306800	0.417348	0	0
PF3D7_0306900	0.326372	0	0
PF3D7_0307100	0.830338	0	0
PF3D7_0307200	0.937102	0	0
PF3D7_0307500	0.153543	0	0
PF3D7_0307600	0.0576525	0	0
PF3D7_0307700	0.415993	0	0
PF3D7_0308200	0.185513	0	0
PF3D7_0308900	0.232838	0	0
PF3D7_0309000	0.265121	0	0
PF3D7_0309200	0.193287	0	0
PF3D7_0309300	0.401196	0	0
PF3D7_0309500	0.881903	0	0
PF3D7_0309600	0.331522	0	0
PF3D7_0309700	0.0261126	0	0
PF3D7_0310200	0.619864	0	0
PF3D7_0310300	0.479008	0	0
PF3D7_0310500	0.305287	0	0
PF3D7_0310800	0.204338	0	0
PF3D7_0310900	0.475118	0	0
PF3D7_0311100	0.978667	0	0
PF3D7_0311300	0.676518	0	0
PF3D7_0312400	0.451912	0	0
PF3D7_0312500	0.362187	0	0
PF3D7_0313000	0.569464	0	0
PF3D7_0313400	0.353392	0	0
PF3D7_0314100	0.427777	0	0
PF3D7_0314600	0.168248	0	0
PF3D7_0314700	0.212297	0	0
PF3D7_0315000	0.454283	0	0
PF3D7_0315100	0.800183	0	0
PF3D7_0315400	1.62248	0	1
PF3D7_0315600	0.00983238	0	0
PF3D7_0315800	0.433223	0	0
PF3D7_0316200	0.312258	0	0
PF3D7_0316500	0.417898	0	0
PF3D7_0316600	0.336578	0	0
PF3D7_0316700	0.407659	0	0
PF3D7_0316900	0.0734577	0	0
PF3D7_0317200	0.639672	0	0
PF3D7_0317300	0.779768	0	0
PF3D7_0317400	0.915607	0	0
PF3D7_0317500	0.229477	0	0
PF3D7_0317600	0.136958	0	0
PF3D7_0317700	0.494278	0	0
PF3D7_0318200	0.774472	0	0
PF3D7_0318600	0.547737	0	0
PF3D7_0319100	0.165903	0	0
PF3D7_0319500	0.145237	0	0
PF3D7_0319600	0.565758	0	0
PF3D7_0319700	0.555813	0	0
PF3D7_0319900	0.353888	0	0
PF3D7_0320000	0.530011	0	0
PF3D7_0320600	0.105377	0	0
PF3D7_0320900	0.205447	0	0
PF3D7_0321500	0.135067	0	0
PF3D7_0321600	0.236168	0	0
PF3D7_0321700	0.373681	0	0
PF3D7_0321800	0.302398	0	0
PF3D7_0321900	0.787968	0	0
PF3D7_0322000	0.266377	0	0
PF3D7_0322100	0.0673227	0	0
PF3D7_0322400	0.450017	0	0
PF3D7_0322900	0.503088	0	0
PF3D7_0323100	0.435186	0	0
PF3D7_0323500	0.201858	0	0
PF3D7_0323600	0.318128	0	0
PF3D7_0323700	0.511373	0	0
PF3D7_0323800	0.486487	0	0
PF3D7_0401800	1.32618	5	0
PF3D7_0401900	0.212157	0	0
PF3D7_0402000	3.40641	2	0
PF3D7_0402100	0.681717	0	0
PF3D7_0402300	0.00187683	0	0
PF3D7_0402400	1.31265	1	0
PF3D7_0403100	0.205513	0	0
