gene_id	gametocyte_proteome_log2	gametocyte_newly_made
PF3D7_0102200	12.96967311	0
PF3D7_0102700	13.39459622	0
PF3D7_0102800	12.31410075	0
PF3D7_0102900	18.49055451	0
PF3D7_0103000	14.85461032	1
PF3D7_0103200	16.51763248	1
PF3D7_0103700	11.91732981	0
PF3D7_0103800	16.86665552	1
PF3D7_0103900	16.46059454	1
PF3D7_0104200	14.32323541	0
PF3D7_0104400	15.22801697	1
PF3D7_0104500	18.38041033	1
PF3D7_0104700	13.58778923	0
PF3D7_0105200	16.79351864	1
PF3D7_0105300	15.48407497	1
PF3D7_0105600	12.7864929	0
PF3D7_0106100	18.54632678	0
PF3D7_0106300	19.38815256	0
PF3D7_0106400	14.90432101	0
PF3D7_0106500	12.2301886	0
PF3D7_0106700	12.64314143	0
PF3D7_0106800	18.56880351	0
PF3D7_0107000	17.70139672	0
PF3D7_0107200	13.44823248	0
PF3D7_0107400	18.18368707	1
PF3D7_0107500	14.32333394	1
PF3D7_0107700	13.55258505	0
PF3D7_0108000	19.16831547	1
PF3D7_0108300	14.80115933	1
PF3D7_0108500	16.03511195	0
PF3D7_0108700	16.56001233	0
PF3D7_0108800	17.82236336	1
PF3D7_0109000	16.66537247	0
PF3D7_0109100	20.44864265	0
PF3D7_0109200	13.79962566	0
PF3D7_0109300	16.12833943	0
PF3D7_0109400	20.57619399	1
PF3D7_0109800	17.97537033	1
PF3D7_0109950		1
PF3D7_0110400	13.06265051	0
PF3D7_0110500	11.10265813	0
PF3D7_0110600	14.07186175	0
PF3D7_0110700	21.40283408	0
PF3D7_0110800	15.81155365	1
PF3D7_0110900	15.26607033	0
PF3D7_0111000	16.65210271	0
PF3D7_0111300	14.42862407	0
PF3D7_0111500	19.20867176	1
PF3D7_0111900	15.14600775	0
PF3D7_0112000	16.35832496	1
PF3D7_0113900	12.61088873	0
PF3D7_0114000	17.29144353	1
PF3D7_0115100	16.51694907	1
PF3D7_0201500	13.32288159	0
PF3D7_0201900	13.01474698	0
PF3D7_0202000	13.36606353	1
PF3D7_0202200	12.43453354	0
PF3D7_0202500	15.75609759	0
PF3D7_0203400	20.02887731	1
PF3D7_0203600	11.08349484	0
PF3D7_0204000	13.99162813	0
PF3D7_0204100	16.46108344	1
PF3D7_0204200	15.5284999	0
PF3D7_0204400	14.54881188	1
PF3D7_0204500	15.95936581	1
PF3D7_0204700	19.74161675	0
PF3D7_0204900	16.20637021	0
PF3D7_0205100	15.63873003	1
PF3D7_0205200	14.91845798	0
PF3D7_0205300	14.22524761	0
PF3D7_0205400	14.02272324	0
PF3D7_0205500	15.92310924	0
PF3D7_0205600	16.03070736	0
PF3D7_0205900	18.7279559	0
PF3D7_0206200	14.05553947	1
PF3D7_0206700	17.93287025	1
PF3D7_0206800	12.33795169	0
PF3D7_0207200	15.05655305	0
PF3D7_0208100	12.96729592	0
PF3D7_0208200	13.60314722	0
PF3D7_0208500	16.00335833	0
PF3D7_0208700	12.80746226	0
PF3D7_0208800	16.37743706	0
PF3D7_0208900	17.69730924	0
PF3D7_0209000	21.84580395	0
PF3D7_0209100	13.70469981	0
PF3D7_0209200	14.42953315	0
PF3D7_0209400	17.00710394	1
PF3D7_0209800	18.53503105	0
PF3D7_0210100	16.67064611	0
PF3D7_0210200	15.1767822	1
PF3D7_0210700	15.7505936	0
PF3D7_0210900	16.71112023	1
PF3D7_0211200	17.02346199	0
PF3D7_0211500	14.8803233	0
PF3D7_0211800	18.12069182	0
PF3D7_0212000	15.37416555	0
PF3D7_0212300	17.33534383	1
PF3D7_0212900	16.18797381	0
PF3D7_0213000	15.52839611	0
PF3D7_0213100	17.85019294	1
PF3D7_0213200	15.15167065	0
PF3D7_0213400	11.67242092	0
PF3D7_0213500	14.198005	0
PF3D7_0213600	13.14873396	1
PF3D7_0213700	18.43851844	1
PF3D7_0214000	19.85850366	0
PF3D7_0214100	16.82809929	1
PF3D7_0214400	13.51334105	0
PF3D7_0214800	12.766925	0
PF3D7_0214900	16.77783748	0
PF3D7_0215000	17.06396379	0
PF3D7_0215100	11.86864896	0
PF3D7_0215600	13.64425813	0
PF3D7_0215700	16.2683367	0
PF3D7_0215800	13.76002546	0
PF3D7_0216000	14.14369942	0
PF3D7_0216400	15.54222681	1
PF3D7_0216600	16.53724267	1
PF3D7_0216900	14.95806177	0
PF3D7_0217100	19.0372538	0
PF3D7_0217500	18.90021527	0
PF3D7_0217700	12.41861075	0
PF3D7_0217800	15.58360288	0
PF3D7_0217900	17.56515168	0
PF3D7_0218000	19.5256234	1
PF3D7_0218500	16.18692282	0
PF3D7_0218600	15.17241579	0
PF3D7_0218700	11.69742156	0
PF3D7_0219100	18.13119213	0
PF3D7_0219400	15.45719061	0
PF3D7_0219600	18.34273301	1
PF3D7_0219700	13.52942242	0
PF3D7_0220100	13.58027427	0
PF3D7_0223100	12.05875618	0
PF3D7_0300100	13.7993221	0
PF3D7_0301700	13.58953412	0
PF3D7_0302000	13.69133278	0
PF3D7_0302100	14.8438213	1
PF3D7_0302500	12.96179152	0
PF3D7_0302700	14.32596359	0
PF3D7_0302800	14.68548249	0
PF3D7_0302900	17.50881095	0
PF3D7_0303000	16.56408795	1
PF3D7_0303100	15.81793048	1
