gene_id	latency_log2fc	latency_classifier_member
PF3D7_0100100	-1.155264995	0
PF3D7_0100300	-1.794788485	0
PF3D7_0100400	-0.173826109	0
PF3D7_0100600	2.08962825	0
PF3D7_0100800	1.50184365	0
PF3D7_0100900	0.239330433	0
PF3D7_0101000	-0.54580431	0
PF3D7_0101300	-2.705812623	0
PF3D7_0101600	1.096890695	0
PF3D7_0101800	-4.918817472	0
PF3D7_0101900	3.750359173	0
PF3D7_0102200	3.246289273	0
PF3D7_0102300	-2.119712696	0
PF3D7_0102500	2.262102686	0
PF3D7_0102600	0.141699178	0
PF3D7_0102700	0.134886224	0
PF3D7_0102800	-1.991905333	0
PF3D7_0103000	-1.067342243	0
PF3D7_0103100	1.700861426	0
PF3D7_0103200	-1.729476599	0
PF3D7_0103300	-0.109740007	0
PF3D7_0103400	-0.236738899	0
PF3D7_0103500	-0.677076572	0
PF3D7_0103600	-0.611838792	0
PF3D7_0103800	2.553719311	0
PF3D7_0103900	-1.449394694	0
PF3D7_0104000	0.664827223	0
PF3D7_0104100	2.120266392	0
PF3D7_0104200	0.898125609	0
PF3D7_0104300	-0.392719843	0
PF3D7_0104400	-0.536491678	0
PF3D7_0104500	-2.067363481	0
PF3D7_0104600	-0.430595735	0
PF3D7_0104700	-1.198674172	0
PF3D7_0104800	-1.924364561	0
PF3D7_0105100	-1.62509164	0
PF3D7_0105200	-0.700516775	0
PF3D7_0105300	-0.036495678	0
PF3D7_0105400	0.75889844	0
PF3D7_0105500	0.320515598	0
PF3D7_0105600	0.675768761	0
PF3D7_0105700	0.629363647	0
PF3D7_0105800	0.10975487	0
PF3D7_0105900	1.734649461	0
PF3D7_0106000	1.893800073	0
PF3D7_0106100	-0.650566244	0
PF3D7_0106200	0.891932241	0
PF3D7_0106300	-0.272264937	0
PF3D7_0106500	2.223495347	0
PF3D7_0106600	-0.658479675	0
PF3D7_0106800	-0.856959408	0
PF3D7_0106900	1.59415907	0
PF3D7_0107000	-3.348243479	0
PF3D7_0107100	-0.763695817	0
PF3D7_0107200	-2.235880728	0
PF3D7_0107300	0.451950419	0
PF3D7_0107400	-0.043372717	0
PF3D7_0107500	-0.352072712	0
PF3D7_0107600	0.992178321	0
PF3D7_0107700	-2.936578708	0
PF3D7_0107800	-0.24464332	0
PF3D7_0107900	-0.330789979	0
PF3D7_0108000	-1.694307171	0
PF3D7_0108100	1.89356592	0
PF3D7_0108300	-0.347232717	0
PF3D7_0108400	-2.235587955	0
PF3D7_0108500	1.302656506	0
PF3D7_0108600	-2.180976027	0
PF3D7_0108700	0.8859464	0
PF3D7_0108800	1.388732941	0
PF3D7_0109000	2.524925422	0
PF3D7_0109100	0.661611865	0
PF3D7_0109200	2.302075849	0
PF3D7_0109300	-1.523049137	0
PF3D7_0109400	-1.303369216	0
PF3D7_0109500	0.107852788	1
PF3D7_0109600	-0.992160181	0
PF3D7_0109850	-1.009022247	0
PF3D7_0109950	-0.418797318	0
PF3D7_0110000	-1.952640186	0
PF3D7_0110100	-0.13314022	0
PF3D7_0110200	-1.701059139	0
PF3D7_0110400	-0.710345713	0
PF3D7_0110500	0.302129074	0
PF3D7_0110600	0.379929633	0
PF3D7_0110700	-1.402652522	0
PF3D7_0110800	-0.605907099	0
PF3D7_0110900	-2.307693349	0
PF3D7_0111000	0.074843787	0
PF3D7_0111200	-1.478604842	0
PF3D7_0111300	-1.079443243	0
PF3D7_0111400	0.566621702	0
PF3D7_0111500	-0.973279944	0
PF3D7_0111600	0.219749704	0
PF3D7_0111700	-0.460416875	0
PF3D7_0111800	0.832939943	0
PF3D7_0111900	-0.168839522	0
PF3D7_0112000	0.43631746	0
PF3D7_0112100	1.779261574	0
PF3D7_0112200	-1.420752809	0
PF3D7_0112800	4.042321755	0
PF3D7_0112900	2.239317815	0
PF3D7_0113000	-1.343986453	0
PF3D7_0113100	2.192817845	0
PF3D7_0113200	-0.050879249	0
PF3D7_0113300	1.414240098	0
PF3D7_0113400	4.477633708	0
PF3D7_0113700	2.918513175	0
PF3D7_0113800	1.215781771	0
PF3D7_0113900	-0.080959375	0
PF3D7_0114000	4.188767614	0
PF3D7_0114100	-3.246387195	0
PF3D7_0114200	2.354981395	0
PF3D7_0114500	-1.077788929	0
PF3D7_0114700	2.260599193	0
PF3D7_0114800	-0.138044713	0
PF3D7_0115000	5.191539062	0
PF3D7_0115100	2.715895707	0
PF3D7_0115400	-0.127248174	0
PF3D7_0115600	-1.491718284	0
PF3D7_0115700	0.327566985	0
PF3D7_0200100	0.025607173	0
PF3D7_0200200	-1.31584604	0
PF3D7_0200400	-0.200774604	0
PF3D7_0200600	-0.772428945	0
PF3D7_0200700	1.048228424	0
PF3D7_0201000	3.178921235	1
PF3D7_0201300	-0.846028378	0
PF3D7_0202000	-2.448012396	0
PF3D7_0202100	-1.672418025	0
PF3D7_0202200	3.421006695	0
PF3D7_0202300	-0.605202968	0
PF3D7_0202400	-0.052552108	0
PF3D7_0202500	-1.149164747	1
PF3D7_0202600	1.0052412	0
PF3D7_0202700	0.531181864	0
PF3D7_0202800	-1.54259553	0
PF3D7_0202900	-2.427402557	0
PF3D7_0203000	1.656231216	0
PF3D7_0203100	1.168280681	0
PF3D7_0203200	1.378687377	0
PF3D7_0203300	-0.795100891	1
PF3D7_0203400	-1.570252411	0
PF3D7_0203600	1.423944609	0
PF3D7_0203700	0.008573233	0
PF3D7_0203800	-0.834779538	0
PF3D7_0203900	-1.206896241	0
PF3D7_0204000	-1.67729414	0
PF3D7_0204100	0.867914843	0
PF3D7_0204200	-1.490474062	0
PF3D7_0204300	-1.774928615	0
PF3D7_0204400	-0.768230671	0
PF3D7_0204500	-2.125129103	0
PF3D7_0204600	-0.516400946	0
PF3D7_0204700	-1.584310788	0
PF3D7_0204800	-1.256734538	0
PF3D7_0204900	-0.197107016	0
PF3D7_0205000	-0.084755242	0
PF3D7_0205100	0.690126334	0
PF3D7_0205200	2.750579757	0
PF3D7_0205300	2.327395156	0
PF3D7_0205400	-0.87287831	0
PF3D7_0205500	-1.94110258	0
PF3D7_0205600	2.056640337	0
PF3D7_0205700	-1.074071415	0
PF3D7_0205800	-1.633366207	0
PF3D7_0205900	-1.042341239	0
PF3D7_0206000	0.427607321	0
PF3D7_0206100	-0.505714799	0
PF3D7_0206200	1.444544506	0
PF3D7_0206500	-0.122362745	0
PF3D7_0206600	0.519116167	0
PF3D7_0206700	-0.784858207	0
PF3D7_0206800	1.842233463	0
PF3D7_0206900	-1.340834641	0
PF3D7_0207000	-0.310714306	1
PF3D7_0207100	-0.669876693	0
PF3D7_0207200	0.997430631	1
PF3D7_0207300	2.016415024	0
PF3D7_0207400	0.420364584	0
PF3D7_0207500	-0.603796841	0
PF3D7_0207600	1.684307282	0
PF3D7_0207700	0.791153381	0
PF3D7_0207800	0.833867942	0
PF3D7_0207900	2.848811102	0
PF3D7_0208000	3.530197901	0
PF3D7_0208100	-0.685437001	0
PF3D7_0208200	-1.067470786	0
PF3D7_0208300	-0.758312641	0
PF3D7_0208400	-0.488260295	0
PF3D7_0208500	-0.825384884	0
PF3D7_0208700	-0.799326222	0
PF3D7_0208800	-1.163950535	0
PF3D7_0208900	1.989714023	0
PF3D7_0209000	0.109800598	0
PF3D7_0209100	0.299725444	0
PF3D7_0209200	-0.844379544	0
PF3D7_0209300	-2.625366807	0
PF3D7_0209400	-1.345909665	0
PF3D7_0209500	3.737023123	0
PF3D7_0209600	0.969924266	0
PF3D7_0209700	1.088017312	0
PF3D7_0209800	-1.566389038	0
PF3D7_0210000	0.040090562	0
PF3D7_0210200	-0.951175957	0
PF3D7_0210300	-0.068813645	0
PF3D7_0210500	-1.865587913	0
PF3D7_0210600	3.166374785	0
PF3D7_0210700	2.362358554	0
PF3D7_0210800	1.173144028	0
PF3D7_0210900	-1.874491912	0
PF3D7_0211100	-2.106588629	0
PF3D7_0211200	-1.052241159	0
PF3D7_0211300	1.191902512	0
PF3D7_0211400	1.442491897	0
PF3D7_0211500	2.122281707	0
PF3D7_0211600	-1.008225724	0
PF3D7_0211700	-0.161682425	0
PF3D7_0211900	-0.891774532	0
PF3D7_0212000	-0.229921657	0
PF3D7_0212100	-1.371609337	0
PF3D7_0212300	-1.68893044	0
PF3D7_0212400	-1.098221933	0
PF3D7_0212500	-0.8307993	0
PF3D7_0212600	2.638462379	0
PF3D7_0212700	2.579958988	0
PF3D7_0212800	-0.484493597	0
PF3D7_0213000	-2.182528076	0
PF3D7_0213100	-0.891507415	0
PF3D7_0213200	-1.738830375	0
PF3D7_0213300	-1.419410888	0
PF3D7_0213400	-2.124188006	0
PF3D7_0213500	0.249144101	0
PF3D7_0213600	-0.405263559	0
PF3D7_0213700	-1.908182193	0
PF3D7_0213800	-0.546151274	0
PF3D7_0213900	2.794136253	0
PF3D7_0214000	-1.268767432	0
PF3D7_0214100	1.046626712	0
PF3D7_0214300	3.953819679	0
PF3D7_0214400	-0.435606965	1
PF3D7_0214500	-0.971284081	0
PF3D7_0214600	3.868149794	0
PF3D7_0214700	2.010178906	0
