gene_id	m6a_n_canonical_sites	m6a_canonical_stoichiometry
PF3D7_0100100	0	
PF3D7_0100200	2	
PF3D7_0100300	0	
PF3D7_0100400	0	
PF3D7_0100600	0	
PF3D7_0100700	0	
PF3D7_0100800	0	
PF3D7_0100900	0	
PF3D7_0101000	0	
PF3D7_0101100	0	
PF3D7_0101200	0	
PF3D7_0101300	0	
PF3D7_0101600	0	
PF3D7_0101800	0	
PF3D7_0101900	0	
PF3D7_0102200	0	
PF3D7_0102300	1	0.5334679467
PF3D7_0102500	0	
PF3D7_0102600	1	0.54545455
PF3D7_0102700	1	
PF3D7_0102800	2	0.6028762733
PF3D7_0102900	4	0.6408400467
PF3D7_0103000	1	0.620850555
PF3D7_0103100	2	0.6351875133
PF3D7_0103200	2	0.6351875133
PF3D7_0103300	1	0.675382175
PF3D7_0103400	3	0.575958465
PF3D7_0103500	1	
PF3D7_0103600	3	0.502288405
PF3D7_0103700	4	0.501751745
PF3D7_0103800	3	0.54521919
PF3D7_0103900	1	0.664923325
PF3D7_0104000	0	
PF3D7_0104100	1	0.63587763
PF3D7_0104200	2	0.61822871
PF3D7_0104300	2	0.5140129
PF3D7_0104400	5	0.5608950267
PF3D7_0104500	1	0.4950352033
PF3D7_0104600	1	0.50839965
PF3D7_0104700	0	
PF3D7_0104800	2	0.6200220967
PF3D7_0105100	2	0.59998648
PF3D7_0105200	2	0.5209112833
PF3D7_0105300	1	0.6259854533
PF3D7_0105400	2	0.57251803
PF3D7_0105500	0	
PF3D7_0105600	0	
PF3D7_0105700	2	0.60876893
PF3D7_0105800	4	0.5472901
PF3D7_0105900	1	0.589213255
PF3D7_0106000	2	0.4863902
PF3D7_0106100	1	0.55996067
PF3D7_0106200	1	0.75445512
PF3D7_0106300	1	0.55092721
PF3D7_0106400	2	0.50257706
PF3D7_0106500	3	0.5404592133
PF3D7_0106600	0	
PF3D7_0106700	1	0.627326605
PF3D7_0106800	0	
PF3D7_0106900	4	0.54204796
PF3D7_0107000	1	0.61455982
PF3D7_0107100	0	
PF3D7_0107200	2	0.57963204
PF3D7_0107300	1	
PF3D7_0107400	3	0.5411184667
PF3D7_0107500	1	0.44648693
PF3D7_0107600	0	
PF3D7_0107700	3	0.6651823233
PF3D7_0107800	4	0.6510241567
PF3D7_0107900	1	0.5548486467
PF3D7_0108000	3	0.6593062067
PF3D7_0108100	1	0.7655616233
PF3D7_0108300	2	0.6098340467
PF3D7_0108400	1	0.7147853567
PF3D7_0108500	2	0.72170577
PF3D7_0108600	2	0.60861143
PF3D7_0108700	1	0.69723707
PF3D7_0108800	2	0.6758861633
PF3D7_0109000	3	0.51535852
PF3D7_0109100	0	
PF3D7_0109200	2	0.47009734
PF3D7_0109300	1	0.527669405
PF3D7_0109400	4	0.5810611867
PF3D7_0109500	3	0.5599882067
PF3D7_0109600	0	
PF3D7_0109700	1	
PF3D7_0109800	2	0.57537146
PF3D7_0109850	0	
PF3D7_0109950	3	0.6381355467
PF3D7_0110000	9	0.6248330133
PF3D7_0110100	2	0.641507835
PF3D7_0110200	2	0.5608289533
PF3D7_0110400	0	
PF3D7_0110500	1	0.561646185
PF3D7_0110600	2	0.64772371
PF3D7_0110700	2	0.520002555
PF3D7_0110800	4	0.6979199367
PF3D7_0110900	1	0.49341552
PF3D7_0111000	1	
PF3D7_0111200	1	0.78396302
PF3D7_0111300	2	0.6195374433
PF3D7_0111400	1	0.5900069533
PF3D7_0111500	4	0.6271957
PF3D7_0111600	1	0.5553867433
PF3D7_0111700	0	
PF3D7_0111800	4	0.5786191333
PF3D7_0111900	1	0.47739983
PF3D7_0112000	0	
PF3D7_0112100	0	
PF3D7_0112200	2	0.6761149567
PF3D7_0112800	0	
PF3D7_0112900	0	
PF3D7_0113000	1	0.51795939
PF3D7_0113100	0	
PF3D7_0113200	0	
PF3D7_0113300	1	
PF3D7_0113400	0	
PF3D7_0113700	2	0.80348592
PF3D7_0113800	0	
PF3D7_0113900	2	0.60249388
PF3D7_0114000	0	
PF3D7_0114100	0	
PF3D7_0114200	0	
PF3D7_0114500	0	
PF3D7_0114700	0	
PF3D7_0114750	0	
PF3D7_0114800	0	
PF3D7_0115000	0	
PF3D7_0115100	0	
PF3D7_0115200	0	
PF3D7_0115300	0	
PF3D7_0115400	0	
PF3D7_0115600	0	
PF3D7_0115700	0	
PF3D7_0200100	0	
PF3D7_0200200	0	
PF3D7_0200300	0	
PF3D7_0200400	0	
PF3D7_0200500	0	
PF3D7_0200600	0	
PF3D7_0200700	0	
PF3D7_0201000	0	
PF3D7_0201100	0	
PF3D7_0201200	0	
PF3D7_0201300	0	
PF3D7_0201400	0	
PF3D7_0201500	0	
PF3D7_0201600	0	
PF3D7_0201700	0	
PF3D7_0201800	0	
PF3D7_0201900	0	
PF3D7_0202000	0	
PF3D7_0202100	0	
PF3D7_0202200	0	
PF3D7_0202300	0	
PF3D7_0202400	1	
PF3D7_0202500	2	0.6786520867
PF3D7_0202600	1	0.74331011
PF3D7_0202700	2	0.5945528267
PF3D7_0202800	2	0.47243998
PF3D7_0202900	1	
PF3D7_0203000	0	
PF3D7_0203100	0	
PF3D7_0203200	2	0.615833505
PF3D7_0203300	2	0.5772287533
PF3D7_0203400	3	0.7453092867
PF3D7_0203600	2	0.54271284
PF3D7_0203700	2	0.604902805
PF3D7_0203800	1	
PF3D7_0203900	3	0.563700115
PF3D7_0204000	1	0.735883885
PF3D7_0204100	3	0.5713826033
PF3D7_0204200	1	0.47566799
PF3D7_0204300	3	0.53987738
PF3D7_0204400	2	0.43145493
PF3D7_0204500	0	
PF3D7_0204600	3	0.59102244
PF3D7_0204700	1	0.46064397
PF3D7_0204800	2	0.61755328
PF3D7_0204900	5	0.6049203633
PF3D7_0205000	0	
PF3D7_0205100	2	
PF3D7_0205200	2	
PF3D7_0205300	0	
PF3D7_0205400	2	0.6713127733
PF3D7_0205500	2	0.64155966
PF3D7_0205600	2	0.5609381767
PF3D7_0205700	2	0.57681154
PF3D7_0205800	1	0.49129232
PF3D7_0205900	2	0.5741887333
PF3D7_0206000	1	0.45189702
PF3D7_0206100	1	0.53647643
PF3D7_0206200	1	0.53817485
PF3D7_0206500	2	0.480342625
PF3D7_0206600	1	
