gene_id	melting_temperature_tm	melting_temperature_sd
PF3D7_0102200	53.81289765	2.65497047
PF3D7_0102500	55.93330379	2.16616975
PF3D7_0102900	54.06272121	2.671434501
PF3D7_0103000	44.05172836	0.08971917941
PF3D7_0103300	46.01023872	6.404170232
PF3D7_0103600	70.51976681	7.828555043
PF3D7_0104200	60.29281952	6.826396718
PF3D7_0104400	57.30814486	2.066200293
PF3D7_0104500	50.32449129	1.496101827
PF3D7_0105200	53.72276986	1.40339627
PF3D7_0105300	65.23375528	2.540519383
PF3D7_0105600	51.20153558	1.286614813
PF3D7_0105800	50.13687734	1.504267577
PF3D7_0106000	48.7834788	1.490638114
PF3D7_0106100	51.14103669	1.155474678
PF3D7_0106400	51.75248396	2.123135643
PF3D7_0106500	48.29233292	
PF3D7_0106800	58.51240281	3.576143147
PF3D7_0106900	52.01282827	3.441792778
PF3D7_0108000	64.60700646	2.413066133
PF3D7_0108300	51.00743376	6.04147961
PF3D7_0109200	57.58323944	4.315777467
PF3D7_0109400	51.3896808	0.7714014936
PF3D7_0109600	52.82028483	
PF3D7_0109700	57.32775794	
PF3D7_0109800	51.17491342	1.600149257
PF3D7_0110100	60.42121643	2.810977113
PF3D7_0110400	53.90444258	4.607842236
PF3D7_0110500	55.55167481	3.671406013
PF3D7_0110700	55.86694175	2.375964116
PF3D7_0110800	44.58880589	1.269280555
PF3D7_0110900	46.17630874	1.436542759
PF3D7_0111000	66.82004911	2.243233351
PF3D7_0111400	47.57198522	
PF3D7_0111500	51.52911812	1.323354441
PF3D7_0111800	49.64030881	1.873909611
PF3D7_0112000	57.0249477	2.211481552
PF3D7_0113000	56.22571337	8.300284826
PF3D7_0113200	57.90384437	3.516897
PF3D7_0113300	51.772181	
PF3D7_0113700	54.94189307	1.387476693
PF3D7_0113900	58.16080513	3.84446044
PF3D7_0201800	55.5390297	2.436967176
PF3D7_0201900	58.295191	7.968294284
PF3D7_0202000	59.36749053	6.118589101
PF3D7_0202100	51.08453918	2.165411954
PF3D7_0202200	52.19241611	4.044797924
PF3D7_0202400	64.4011967	0.5648165622
PF3D7_0202500	62.5446591	13.90561156
PF3D7_0203300	50.90953073	
PF3D7_0203700	70.60926657	
PF3D7_0204100	56.00515546	
PF3D7_0204500	60.33628521	2.918767085
PF3D7_0204600	54.66459074	
PF3D7_0204700	60.622132	
PF3D7_0205400	51.10219189	1.86639912
PF3D7_0205500	57.56060974	1.740971844
PF3D7_0205600	54.38695617	
PF3D7_0205900	49.0396731	2.105913622
PF3D7_0206700	57.38951466	2.187391666
PF3D7_0206900	62.43972889	5.479497232
PF3D7_0207200	53.2520107	0.4593370928
PF3D7_0207400	52.56634546	1.196432672
PF3D7_0207500	55.23591822	1.361999312
PF3D7_0207600	57.15785683	1.568641022
PF3D7_0207700	58.39053782	1.477086907
PF3D7_0207800	53.99132748	1.4539848
PF3D7_0207900	57.60322341	0.7770982359
PF3D7_0208000	53.58614636	1.023615789
PF3D7_0208300	58.60817036	1.488841329
PF3D7_0208400	49.21964022	1.044384966
PF3D7_0208600	53.6884637	2.00236097
PF3D7_0208700	52.51098178	0.7902204748
PF3D7_0209100	57.17230297	3.601999083
PF3D7_0209200	55.2147781	1.067901078
PF3D7_0209400	54.24402171	1.839655975
PF3D7_0209800	46.76261848	0.9086534427
PF3D7_0210100	55.31037411	1.281776323
PF3D7_0210200	44.14582573	1.362887273
PF3D7_0210600	50.72154704	
PF3D7_0210900	51.18344146	1.95850808
PF3D7_0211200	54.7898599	2.655489826
PF3D7_0211800	59.51583474	1.975954429
PF3D7_0212100	71.30508605	
PF3D7_0212300	43.29296714	0.8293572123
PF3D7_0212900	50.12885697	2.113263336
PF3D7_0213100	48.5021769	1.443451321
PF3D7_0213900	50.45496627	5.846103656
PF3D7_0214000	55.64265758	1.538248656
PF3D7_0214100	52.18308185	1.994232119
PF3D7_0214600	54.12533964	
PF3D7_0215000	56.90534479	
PF3D7_0215100	52.46117719	0.9003843776
