gene_id	fertility_female	fertility_male
PF3D7_0934300	-12.14267625	-0.06558042197
PF3D7_1468500	-11.40627608	-4.474879796
PF3D7_1142800	-11.05285198	-0.7809940157
PF3D7_0215500	-10.76368605	-10.0142685
PF3D7_1220000	-10.67718182	-0.610044793
PF3D7_1235700	-10.6377551	-0.2006925364
PF3D7_1138500	-10.44629876	-0.7114761525
PF3D7_1032500	-10.42483335	-5.212294649
PF3D7_0918400	-10.37056019	-7.99756033
PF3D7_1246000	-10.29726724	-9.271773063
PF3D7_1453000	-10.26849491	-5.851176726
PF3D7_0407400	-10.19854683	-0.5643331296
PF3D7_0309300	-10.14495021	-11.59895685
PF3D7_1312600	-10.04102586	-1.838628154
PF3D7_1441700	-9.530183729	-0.9273612535
PF3D7_0907400	-9.423574613	-0.9914926052
PF3D7_0515500	-9.33132956	-7.637242605
PF3D7_1034400	-9.277589204	0.02867631813
PF3D7_1429500	-9.172143186	-8.448489031
PF3D7_1367300	-9.141654967	-9.271844982
PF3D7_1137400	-8.99133604	-0.8883284675
PF3D7_1250600	-8.909036854	-3.014540331
PF3D7_1417900	-8.89547026	-1.121569222
PF3D7_1346500	-8.826446233	-8.962885527
PF3D7_0905000	-8.763030493	-0.8903160416
PF3D7_1141200	-8.619706086	-1.432858705
PF3D7_1117000	-8.593012252	-0.2987093693
PF3D7_1129600	-8.586430145	0.08194169607
PF3D7_1356500	-8.560740025	-6.919478792
PF3D7_0320800	-8.531215438	-5.29703303
PF3D7_1021100	-8.47439584	-1.111907046
PF3D7_1212800	-8.43010981	-0.4066131014
PF3D7_0405800	-8.326795997	0.1996248427
PF3D7_0319300	-8.137620707	-4.965458303
PF3D7_0616800	-8.136400092	0.287361877
PF3D7_0514800	-8.091369394	-2.59102308
PF3D7_1343600	-8.084318069	0.3220261629
PF3D7_0815400	-8.000909799	-0.2826809915
PF3D7_0309100	-7.772394916	-0.3487796861
PF3D7_0923600	-7.744587096	-1.372486102
PF3D7_1246700	-7.658494981	-0.01756939871
PF3D7_0807400	-7.650654575	-0.7819812814
PF3D7_0826500	-7.648722315	-1.782841713
PF3D7_0926600	-7.638567011	-0.2397872414
PF3D7_0603400	-7.570964492	-5.288862069
PF3D7_1232400	-7.55917904	-5.628219472
PF3D7_0721300	-7.532176657	-1.952799172
PF3D7_0306600	-7.49871187	-0.9987212631
PF3D7_1474900	-7.496229403	-1.69870578
