gene_id	engaged_n_compounds_tested	engaged_n_compounds_hit
PF3D7_0101300	5	0
PF3D7_0102200	24	0
PF3D7_0102500	25	0
PF3D7_0102900	25	0
PF3D7_0103000	15	0
PF3D7_0103100	17	0
PF3D7_0103200	10	1
PF3D7_0103300	22	0
PF3D7_0103400	1	0
PF3D7_0103500	1	0
PF3D7_0103900	23	0
PF3D7_0104100	1	0
PF3D7_0104200	24	0
PF3D7_0104300	20	0
PF3D7_0104400	25	0
PF3D7_0104500	24	0
PF3D7_0104800	15	0
PF3D7_0105200	25	0
PF3D7_0105300	25	0
PF3D7_0105400	6	0
PF3D7_0105600	10	0
PF3D7_0105700	17	0
PF3D7_0105800	23	0
PF3D7_0106000	20	0
PF3D7_0106100	24	0
PF3D7_0106300	22	0
PF3D7_0106400	25	1
PF3D7_0106500	20	0
PF3D7_0106700	16	0
PF3D7_0106800	25	0
PF3D7_0107000	25	0
PF3D7_0107200	1	0
PF3D7_0107500	24	0
PF3D7_0107800	23	0
PF3D7_0108000	25	0
PF3D7_0108300	25	0
PF3D7_0108500	25	0
PF3D7_0108700	25	0
PF3D7_0109000	23	0
PF3D7_0109200	24	0
PF3D7_0109400	25	0
PF3D7_0109500	2	0
PF3D7_0109600	24	0
PF3D7_0109800	25	0
PF3D7_0110100	16	0
PF3D7_0110200	1	0
PF3D7_0110400	25	0
PF3D7_0110500	23	0
PF3D7_0110600	22	0
PF3D7_0110700	25	0
PF3D7_0110800	25	0
PF3D7_0110900	24	0
PF3D7_0111000	23	0
PF3D7_0111300	10	0
PF3D7_0111400	22	0
PF3D7_0111500	25	0
PF3D7_0111800	22	0
PF3D7_0111900	25	0
PF3D7_0112000	25	0
PF3D7_0112200	20	0
PF3D7_0113000	25	0
PF3D7_0113200	23	0
PF3D7_0113300	6	0
PF3D7_0113900	7	0
PF3D7_0201600	5	0
PF3D7_0201800	13	0
PF3D7_0201900	19	0
PF3D7_0202000	25	0
PF3D7_0202100	3	0
PF3D7_0202200	11	0
PF3D7_0202400	25	0
PF3D7_0202500	14	0
PF3D7_0202600	18	0
PF3D7_0203000	19	0
PF3D7_0203100	4	0
PF3D7_0203200	6	0
PF3D7_0203300	2	0
PF3D7_0203400	25	0
PF3D7_0203600	1	0
PF3D7_0203700	5	0
PF3D7_0204100	20	0
PF3D7_0204200	3	0
PF3D7_0204500	25	0
PF3D7_0204700	20	0
PF3D7_0205100	1	0
PF3D7_0205400	23	0
PF3D7_0205500	25	0
PF3D7_0205600	13	0
PF3D7_0205700	3	0
PF3D7_0205800	1	0
PF3D7_0205900	25	0
PF3D7_0206000	9	0
PF3D7_0206500	10	0
PF3D7_0206600	18	0
PF3D7_0206700	25	1
PF3D7_0206800	25	0
PF3D7_0206900	25	0
PF3D7_0207000	25	0
PF3D7_0207100	8	0
PF3D7_0207200	18	0
PF3D7_0207400	25	0
PF3D7_0207500	25	0
PF3D7_0207600	25	1
PF3D7_0207700	25	0
PF3D7_0207800	25	0
PF3D7_0207900	24	0
PF3D7_0208100	14	0
PF3D7_0208200	7	0
PF3D7_0208400	3	0
PF3D7_0208500	25	0
PF3D7_0208600	15	0
PF3D7_0208700	25	0
PF3D7_0209100	23	0
PF3D7_0209200	24	0
PF3D7_0209300	18	0
PF3D7_0209400	25	1
PF3D7_0209600	10	0
PF3D7_0209800	25	0
PF3D7_0210100	25	1
PF3D7_0210200	20	0
PF3D7_0210700	1	0
PF3D7_0210900	24	0
PF3D7_0211200	25	0
PF3D7_0211800	25	0
PF3D7_0212100	25	0
PF3D7_0212200	8	0
PF3D7_0212300	24	0
PF3D7_0212400	17	0
PF3D7_0212500	23	0
PF3D7_0212600	22	0
PF3D7_0212700	21	0
PF3D7_0212800	6	0
PF3D7_0212900	25	0
PF3D7_0213100	25	0
PF3D7_0213400	2	0
PF3D7_0213500	16	0
PF3D7_0213700	25	0
PF3D7_0213900	24	0
PF3D7_0214000	25	2
PF3D7_0214100	25	0
PF3D7_0214400	25	0
PF3D7_0214800	13	0
PF3D7_0214900	25	0
PF3D7_0215000	14	0
PF3D7_0215100	22	0
PF3D7_0215400	23	0
PF3D7_0215500	16	0
PF3D7_0215600	7	0
PF3D7_0215700	25	0
PF3D7_0215800	14	0
PF3D7_0216300	10	0
PF3D7_0216400	18	0
PF3D7_0216500	9	0
PF3D7_0216600	22	0
PF3D7_0217100	16	0
PF3D7_0217500	24	0
PF3D7_0217700	25	0
PF3D7_0217800	25	0
PF3D7_0217900	25	1
PF3D7_0218000	7	0
PF3D7_0218200	22	0
PF3D7_0218400	11	0
PF3D7_0218500	25	0
PF3D7_0218600	5	0
PF3D7_0218700	21	0
PF3D7_0219400	24	0
PF3D7_0219600	25	0
PF3D7_0219700	6	0
PF3D7_0220000	25	0
PF3D7_0220100	5	0
PF3D7_0220200	12	0
PF3D7_0220500	19	0
PF3D7_0220600	11	0
PF3D7_0220800	21	0
PF3D7_0221200	4	0
PF3D7_0300100	1	0
PF3D7_0300900	6	0
PF3D7_0301400	1	0
PF3D7_0301600	17	0
PF3D7_0301700	25	0
PF3D7_0302000	18	0
PF3D7_0302100	25	0
PF3D7_0302200	12	0
PF3D7_0302500	25	0
PF3D7_0302700	4	0
PF3D7_0302800	25	0
PF3D7_0302900	25	1
PF3D7_0303000	15	0
PF3D7_0303100	25	0
PF3D7_0303200	25	0
PF3D7_0303300	25	0
PF3D7_0303500	22	0
PF3D7_0303600	25	0
PF3D7_0303700	25	0
PF3D7_0303800	9	0
PF3D7_0303900	15	0
PF3D7_0304100	16	0
PF3D7_0304200	25	0
PF3D7_0304400	25	0
PF3D7_0304500	25	0
PF3D7_0305000	24	0
PF3D7_0305100	6	0
PF3D7_0305200	25	0
PF3D7_0305300	25	0
PF3D7_0305500	22	0
PF3D7_0305600	25	0
PF3D7_0305700	25	0
PF3D7_0306100	25	0
PF3D7_0306200	25	1
PF3D7_0306300	25	0
PF3D7_0306400	4	0
PF3D7_0306800	25	0
PF3D7_0306900	22	0
PF3D7_0307100	25	0
PF3D7_0307200	25	0
PF3D7_0307400	4	0
PF3D7_0307500	18	0
PF3D7_0307600	1	0
PF3D7_0307700	25	0
PF3D7_0307800	11	0
PF3D7_0308000	25	0
PF3D7_0308100	23	0
PF3D7_0308200	25	0
PF3D7_0308300	23	0
PF3D7_0308500	25	0
PF3D7_0308600	11	0
PF3D7_0308700	1	0
PF3D7_0308900	23	0
PF3D7_0309000	25	0
PF3D7_0309200	23	0
PF3D7_0309300	16	0
PF3D7_0309500	25	0
PF3D7_0309600	25	0
PF3D7_0309800	1	0
PF3D7_0310000	1	0
PF3D7_0310200	16	0
PF3D7_0310300	21	0
PF3D7_0310400	25	1
PF3D7_0310500	21	0
PF3D7_0310600	24	0
PF3D7_0310700	25	0
PF3D7_0310900	22	0
PF3D7_0311100	18	0
PF3D7_0311300	25	0
PF3D7_0311800	5	0
PF3D7_0312300	24	0
PF3D7_0312400	23	0
PF3D7_0312500	17	0
PF3D7_0312800	25	0
PF3D7_0313000	25	0
PF3D7_0313100	24	0
PF3D7_0313400	14	0
PF3D7_0313500	10	0
PF3D7_0314000	24	0
PF3D7_0314100	15	0
PF3D7_0314400	23	0
PF3D7_0314600	4	0
PF3D7_0314700	25	0
PF3D7_0314800	2	0
PF3D7_0315100	25	0
PF3D7_0315400	16	0
PF3D7_0315600	3	0
PF3D7_0315800	23	0
PF3D7_0316300	25	0
PF3D7_0316400	13	0
PF3D7_0316500	14	0
PF3D7_0316600	21	0
PF3D7_0316700	24	0
PF3D7_0316800	24	0
PF3D7_0317000	25	0
PF3D7_0317200	22	0
PF3D7_0317300	23	0
PF3D7_0317400	12	0
PF3D7_0317500	14	0
PF3D7_0317600	25	0
PF3D7_0317700	22	0
PF3D7_0317800	25	0
PF3D7_0317900	6	0
PF3D7_0318200	25	0
PF3D7_0318300	20	0
PF3D7_0318500	1	0
PF3D7_0318600	1	0
PF3D7_0319000	6	0
PF3D7_0319100	25	0
PF3D7_0319200	25	0
PF3D7_0319400	21	0
PF3D7_0319500	1	0
PF3D7_0319600	25	1
PF3D7_0319900	25	1
