gene_id	n_bcell_epitopes
TGME49_203310	16
TGME49_205250	2
TGME49_207140	1
TGME49_207150	1
TGME49_207160	1
TGME49_214940	1
TGME49_215775	4
TGME49_218520	1
TGME49_227280	6
TGME49_227620	11
TGME49_229010	1
TGME49_233450	1
TGME49_233460	47
TGME49_233480	1
TGME49_243730	1
TGME49_245490	1
TGME49_254720	2
TGME49_258230	2
TGME49_268900	5
TGME49_270250	26
TGME49_271050	8
TGME49_275440	29
TGME49_275470	2
TGME49_280570	1
TGME49_286450	4
TGME49_292270	1
TGME49_295110	1
TGME49_308020	4
TGME49_309590	6
TGME49_310780	20
TGME49_315320	1
TGME49_315490	1
TGME49_319560	11
TGME49_320180	2
