gene_id	n_m6a_peaks
TGME49_212880	15
TGME49_253750	13
TGME49_206430	13
TGME49_252880	12
TGME49_286270	11
TGME49_295710	11
TGME49_309250	10
TGME49_278205	10
TGME49_209650	10
TGME49_277540	9
TGME49_258240	9
TGME49_225090	9
TGME49_321410	8
TGME49_221440	8
TGME49_217790	8
TGME49_254570	8
TGME49_231370	8
TGME49_277940	8
TGME49_213610	7
TGME49_238930	7
TGME49_202490	7
TGME49_234300	7
TGME49_204380	7
TGME49_309885	7
TGME49_313900	7
TGME49_208400	7
TGME49_312065	7
TGME49_293170	7
TGME49_291980	7
TGME49_290678	7
TGME49_211610	7
TGME49_254390	6
TGME49_305180	6
TGME49_290640	6
TGME49_290620	6
TGME49_289310	6
TGME49_264472	6
TGME49_268010	6
TGME49_206450	6
TGME49_277490	6
TGME49_219790	6
TGME49_308880	6
TGME49_258710	6
TGME49_247280	6
TGME49_257780	6
TGME49_278800	6
TGME49_214740	6
TGME49_251460	5
TGME49_218960	5
TGME49_218070	5
TGME49_247730	5
TGME49_249540	5
TGME49_211010	5
TGME49_288420	5
TGME49_308010	5
TGME49_265400	5
TGME49_301380	5
TGME49_278020	5
TGME49_318770	5
TGME49_301300	5
TGME49_288190	5
TGME49_309090	5
TGME49_313450	5
TGME49_255700	5
TGME49_263785	5
TGME49_269670	5
TGME49_269930	5
TGME49_244470	5
TGME49_242770	5
TGME49_286050	5
TGME49_224680	5
TGME49_310330	5
TGME49_223440	5
TGME49_234250	5
TGME49_207100	5
TGME49_209520	5
TGME49_208842	5
TGME49_202890	5
TGME49_301270	5
TGME49_206670	5
TGME49_222900	5
TGME49_220910	5
TGME49_221330	4
TGME49_259860	4
TGME49_252990	4
TGME49_223470	4
TGME49_209730	4
TGME49_209850	4
TGME49_247700	4
TGME49_282140	4
TGME49_248740	4
TGME49_305630	4
TGME49_213800	4
TGME49_213920	4
TGME49_224210	4
TGME49_224260	4
TGME49_260380	4
TGME49_209450	4
TGME49_320430	4
TGME49_288350	4
TGME49_204070	4
TGME49_208580	4
TGME49_208070	4
TGME49_207990	4
TGME49_289230	4
TGME49_202630	4
TGME49_208360	4
TGME49_306900	4
TGME49_294710	4
TGME49_275310	4
TGME49_290880	4
TGME49_294930	4
TGME49_294890	4
TGME49_308920	4
TGME49_218520	4
TGME49_239410	4
TGME49_283760	4
TGME49_215775	4
TGME49_316110	4
TGME49_314850	4
TGME49_228670	4
TGME49_244120	4
TGME49_309570	4
TGME49_277740	4
TGME49_239480	4
TGME49_309100	4
TGME49_251510	4
TGME49_227790	4
TGME49_225010	4
TGME49_214980	3
TGME49_202540	3
TGME49_215060	3
TGME49_202780	3
TGME49_218830	3
TGME49_207980	3
TGME49_202430	3
TGME49_240910	3
TGME49_310460	3
TGME49_240660	3
TGME49_203880	3
TGME49_209280	3
TGME49_244210	3
TGME49_242070	3
TGME49_268220	3
TGME49_299980	3
TGME49_275440	3
TGME49_209080	3
TGME49_294010	3
TGME49_293820	3
TGME49_313180	3
TGME49_281900	3
TGME49_222220	3
TGME49_281960	3
TGME49_295910	3
TGME49_201810	3
TGME49_271110	3
TGME49_315640	3
TGME49_280800	3
TGME49_276140	3
TGME49_270770	3
TGME49_286410	3
TGME49_286620	3
TGME49_271990	3
TGME49_220300	3
TGME49_220170	3
TGME49_308590	3
TGME49_246530	3
TGME49_215940	3
TGME49_316600	3
TGME49_247420	3
TGME49_218400	3
TGME49_216560	3
TGME49_206540	3
TGME49_209130	3
TGME49_321550	3
TGME49_216580	3
TGME49_248350	3
TGME49_233020	3
TGME49_312050	3
TGME49_232680	3
TGME49_316900	3
TGME49_232100	3
TGME49_244310	3
TGME49_209630	3
TGME49_231170	3
TGME49_315798	3
TGME49_297180	3
TGME49_270930	3
TGME49_221200	3
TGME49_243510	3
TGME49_313690	3
TGME49_211860	3
TGME49_225800	3
TGME49_226072	3
TGME49_264610	3
TGME49_211400	3
TGME49_288390	3
TGME49_246520	3
TGME49_246140	3
TGME49_258480	3
TGME49_226240	3
TGME49_226940	3
TGME49_212725	3
TGME49_227260	3
TGME49_289210	3
TGME49_277790	3
TGME49_265820	3
TGME49_223610	3
TGME49_246080	3
TGME49_257330	3
TGME49_256900	3
TGME49_257180	3
TGME49_257290	3
TGME49_224720	3
TGME49_248840	3
TGME49_288830	3
TGME49_267700	3
TGME49_223855	3
TGME49_267020	3
TGME49_221675	3
TGME49_301310	3
TGME49_257760	3
TGME49_221295	3
TGME49_225360	3
TGME49_319870	3
TGME49_214920	3
TGME49_299168	3
TGME49_234980	3
TGME49_218192	3
TGME49_214270	3
TGME49_318650	3
TGME49_210430	3
TGME49_292200	3
TGME49_292190	3
TGME49_236200	3
TGME49_235990	3
TGME49_217665	3
TGME49_235730	3
TGME49_261990	3
TGME49_290170	3
TGME49_290020	3
TGME49_262990	3
TGME49_224270	3
TGME49_227310	3
TGME49_228330	3
TGME49_234560	3
TGME49_277770	3
TGME49_221380	3
TGME49_234280	3
TGME49_270790	2
TGME49_271750	2
TGME49_228060	2
TGME49_229180	2
TGME49_225520	2
TGME49_224990	2
TGME49_214170	2
TGME49_229350	2
TGME49_309170	2
TGME49_229750	2
TGME49_313340	2
TGME49_227948	2
TGME49_255430	2
TGME49_312340	2
TGME49_270710	2
TGME49_230570	2
TGME49_225300	2
TGME49_230890	2
TGME49_231980	2
TGME49_310900	2
TGME49_254380	2
TGME49_310885	2
TGME49_225540	2
TGME49_231790	2
TGME49_310040	2
TGME49_313040	2
TGME49_221710	2
TGME49_313080	2
TGME49_228290	2
TGME49_225340	2
TGME49_273730	2
TGME49_273550	2
TGME49_273080	2
TGME49_224340	2
TGME49_229710	2
TGME49_259710	2
TGME49_309050	2
TGME49_203860	2
TGME49_261370	2
TGME49_203160	2
TGME49_310160	2
TGME49_297160	2
TGME49_202830	2
TGME49_261430	2
TGME49_261450	2
TGME49_221390	2
TGME49_202760	2
TGME49_202700	2
TGME49_310010	2
TGME49_297150	2
TGME49_262130	2
TGME49_309590	2
TGME49_202030	2
TGME49_201860	2
TGME49_201790	2
TGME49_313710	2
TGME49_263060	2
TGME49_235660	2
TGME49_281480	2
TGME49_263260	2
TGME49_215480	2
TGME49_262530	2
TGME49_262060	2
TGME49_203450	2
TGME49_204110	2
TGME49_256830	2
TGME49_260640	2
TGME49_270090	2
TGME49_269710	2
TGME49_297640	2
TGME49_307000	2
TGME49_215920	2
TGME49_268580	2
TGME49_216040	2
TGME49_257625	2
TGME49_315220	2
