gene_id	myristoylation_confidence
TGME49_203160	3
TGME49_207460	3
TGME49_209450	3
TGME49_211630	3
TGME49_212210	2
TGME49_214575	3
TGME49_219710	2
TGME49_220320	2
TGME49_222960	2
TGME49_223940	3
TGME49_226700	2
TGME49_232280	3
TGME49_232340	2
TGME49_232815	3
TGME49_233030	3
TGME49_235490	3
TGME49_237820	3
TGME49_240550	2
TGME49_240630	3
TGME49_242070	3
TGME49_242570	3
TGME49_243800	2
TGME49_245710	3
TGME49_247690	2
TGME49_249970	3
TGME49_255245	2
TGME49_260820	3
TGME49_261440	3
TGME49_261500	3
TGME49_261780	3
TGME49_261980	3
TGME49_262390	2
TGME49_262450	3
TGME49_262490	2
TGME49_262860	1
TGME49_264990	3
TGME49_265270	2
TGME49_267080	3
TGME49_267100	3
TGME49_267280	1
TGME49_267440	3
TGME49_269990	3
TGME49_271380	3
TGME49_276140	3
TGME49_277870	3
TGME49_281580	1
TGME49_285190	3
TGME49_289615	2
TGME49_290200	3
TGME49_292120	3
TGME49_293470	3
TGME49_297150	3
TGME49_299970	3
TGME49_301440	3
TGME49_305860	2
TGME49_306660	2
TGME49_309990	2
TGME49_310420	2
TGME49_310930	3
TGME49_311360	1
TGME49_313290	3
TGME49_313380	3
TGME49_316540	3
TGME49_319510	2
TGME49_320760	3
