gene_id	gene_name	previous_ids	product
PF3D7_0100100	VAR	Previous IDs: MAL1P4.01;PFA0005w	erythrocyte membrane protein 1, PfEMP1
PF3D7_0100200	RIF	Previous IDs: MAL1P4.02;PFA0010c	rifin
PF3D7_0100300	VAR	Previous IDs: MAL1P4.03;PFA0015c	erythrocyte membrane protein 1, PfEMP1
PF3D7_0100400	RIF	Previous IDs: MAL1P4.04;PFA0020w	rifin
PF3D7_0100500	N/A	Previous IDs: MAL1P4.05;PFA0025c	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene
PF3D7_0100600	RIF	Previous IDs: MAL1P4.06;PFA0030c	rifin
PF3D7_0100700	N/A	Previous IDs: MAL1P4.06b;PFA0035c	Plasmodium exported protein, unknown function, fragment
PF3D7_0100800	RIF	Previous IDs: MAL1P4.07;PFA0040w	rifin
PF3D7_0100900	RIF	Previous IDs: MAL1P4.08;PFA0045c	rifin
PF3D7_0101000	RIF	Previous IDs: MAL1P1.9a;PFA0050c	rifin
PF3D7_0101100	EPF4	Previous IDs: MAL1P1.2;PFA0055c	exported protein family 4
PF3D7_0101200	EPF3	Previous IDs: MAL1P1.3;PFA0060w	exported protein family 3
PF3D7_0101300	MC-2TM	Previous IDs: MAL1P1.4;PFA0065w	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0101400	EPF1	Previous IDs: MAL1P1.5;PFA0070c	exported protein family 1, pseudogene
PF3D7_0101500	VAR	Previous IDs: MAL1P1.6;PFA0075w	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0101600	RIF	Previous IDs: MAL1P1.7;PFA0080c	rifin
PF3D7_0101700	VAR	Previous IDs: MAL1P1.8;PFA0085c	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0101800	N/A	Previous IDs: MAL1P1.9b;PFA0090c	stevor
PF3D7_0101900	RIF	Previous IDs: MAL1P1.10;PFA0095c	rifin
PF3D7_0102000	N/A	Previous IDs: MAL1P1.11;PFA0100c	Plasmodium exported protein (PHISTa), unknown function, pseudogene
PF3D7_0102100	N/A	Previous IDs: MAL1P1.11a;PFA0105w	stevor, pseudogene
PF3D7_0102200	RESA	Previous IDs: MAL1P1.13;PFA0110w	ring-infected erythrocyte surface antigen
PF3D7_0102300	N/A	Previous IDs: MAL1P1.14;PFA0115w	Plasmodium exported protein, unknown function
PF3D7_0102400	N/A	Previous IDs: MAL1P1.15;PFA0120c	lysophospholipase, putative, pseudogene
PF3D7_0102500	EBA181	Previous IDs: MAL1P1.16;PFA0125c	erythrocyte binding antigen-181
PF3D7_0102600	FIKK1	Previous IDs: MAL1P1.17;PFA0130c	serine/threonine protein kinase, FIKK family
PF3D7_0102700	MaTrA	Previous IDs: MAL1P1.18;PFA0135w	merozoite-associated tryptophan-rich antigen
PF3D7_0102800	N/A	Previous IDs: MAL1P1.19;PFA0140c	seipin domain-containing protein, putative
PF3D7_0102900	N/A	Previous IDs: MAL1P1.20;PFA0145c	aspartate--tRNA ligase
PF3D7_0103000	N/A	Previous IDs: MAL1P1.71;PFA0150c	vacuolar protein sorting-associated protein VTA1, putative
PF3D7_0103100	VPS51	Previous IDs: MAL1P1.72;PFA0155c	vacuolar protein sorting-associated protein 51, putative
PF3D7_0103200	NT4	Previous IDs: MAL1P1.73;PFA0160c	nucleoside transporter 4
PF3D7_0103300	N/A	Previous IDs: MAL1P1.74;PFA0165c	conserved protein, unknown function
PF3D7_0103400	N/A	Previous IDs: MAL1P1.74b;PFA0170c	zinc-carboxypeptidase, putative
PF3D7_0103500	N/A	Previous IDs: MAL1P1.21;PFA0175w	conserved Plasmodium protein, unknown function
PF3D7_0103600	PSH1	Previous IDs: MAL1P1.22;PFA0180w	ATP-dependent DNA/RNA helicase PSH1
PF3D7_0103700	PSTK	Previous IDs: MAL1P1.23;PFA0185w	L-seryl-tRNA(Sec) kinase, putative
