gene_id	pvm_proximity_positive
TGME49_201260	0.0
TGME49_201400	0.0
TGME49_201680	0.0
TGME49_201700	0.0
TGME49_201790	0.0
TGME49_202160	0.0
TGME49_202230	0.0
TGME49_202300	0.0
TGME49_202350	0.0
TGME49_202370	0.0
TGME49_202380	0.0
TGME49_202460	0.0
TGME49_202470	0.0
TGME49_202530	0.0
TGME49_202540	0.0
TGME49_202770	0.0
TGME49_202960	0.0
TGME49_203290	1.0
TGME49_203310	1.0
TGME49_203390	0.0
TGME49_203490	0.0
TGME49_203600	1.0
TGME49_203630	0.0
TGME49_203870	0.0
TGME49_203940	0.0
TGME49_203950	0.0
TGME49_203970	0.0
TGME49_204020	0.0
TGME49_204270	1.0
TGME49_204340	1.0
TGME49_204370	0.0
TGME49_205010	0.0
TGME49_205040	0.0
TGME49_205180	0.0
TGME49_205220	0.0
TGME49_205240	0.0
TGME49_205320	0.0
TGME49_205340	0.0
TGME49_205350	0.0
TGME49_205440	0.0
TGME49_205470	0.0
TGME49_205510	0.0
TGME49_205550	0.0
TGME49_205558	0.0
TGME49_205600	0.0
TGME49_205700	0.0
TGME49_205750	0.0
TGME49_206450	0.0
TGME49_206470	0.0
TGME49_206690	0.0
TGME49_207060	0.0
TGME49_207120	0.0
TGME49_207140	0.0
TGME49_207390	0.0
TGME49_207440	0.0
TGME49_207640	0.0
TGME49_207760	0.0
TGME49_207770	0.0
TGME49_207830	0.0
TGME49_207840	0.0
TGME49_207990	0.0
TGME49_208200	0.0
TGME49_208320	0.0
TGME49_208370	1.0
TGME49_208500	0.0
TGME49_208530	0.0
TGME49_208560	0.0
TGME49_208750	0.0
TGME49_208820	0.0
TGME49_208830	1.0
TGME49_208842	0.0
TGME49_209030	0.0
TGME49_209140	0.0
TGME49_209430	0.0
TGME49_209690	0.0
TGME49_209800	0.0
TGME49_209850	0.0
TGME49_209910	0.0
TGME49_209960	0.0
TGME49_210370	1.0
TGME49_210690	0.0
TGME49_210750	0.0
TGME49_210778	0.0
TGME49_210800	0.0
TGME49_210840	0.0
TGME49_210960	0.0
TGME49_210980	0.0
TGME49_211020	0.0
TGME49_211040	0.0
TGME49_211230	0.0
TGME49_211300	0.0
TGME49_211470	0.0
TGME49_211670	0.0
TGME49_211720	0.0
TGME49_211890	0.0
TGME49_212130	0.0
TGME49_212250	0.0
TGME49_212290	0.0
TGME49_212300	1.0
TGME49_212310	0.0
TGME49_212930	0.0
TGME49_213000	0.0
TGME49_213067	1.0
TGME49_213072	0.0
TGME49_213350	0.0
TGME49_213410	0.0
TGME49_213420	0.0
TGME49_213690	0.0
TGME49_213800	0.0
TGME49_213830	0.0
TGME49_213870	0.0
TGME49_213900	0.0
TGME49_213940	0.0
TGME49_214090	0.0
TGME49_214150	0.0
TGME49_214180	0.0
TGME49_214210	0.0
TGME49_214270	0.0
TGME49_214320	0.0
TGME49_214350	0.0
TGME49_214440	0.0
TGME49_214490	0.0
TGME49_214530	0.0
TGME49_214590	0.0
TGME49_214790	0.0
TGME49_214820	0.0
TGME49_214840	0.0
TGME49_214920	0.0
TGME49_214960	0.0
TGME49_215040	0.0
TGME49_215060	0.0
TGME49_215070	0.0
TGME49_215090	0.0
TGME49_215150	0.0
TGME49_215220	1.0
TGME49_215230	0.0
TGME49_215250	0.0
TGME49_215260	0.0
TGME49_215400	0.0
TGME49_215420	0.0
TGME49_215450	0.0
TGME49_215460	0.0
TGME49_215470	0.0
TGME49_215610	0.0
TGME49_215680	0.0
TGME49_215730	0.0
TGME49_215980	1.0
TGME49_216000	0.0
TGME49_216010	0.0
TGME49_216050	0.0
TGME49_216220	0.0
TGME49_216450	0.0
TGME49_216540	0.0
TGME49_216620	0.0
TGME49_216650	0.0
TGME49_216670	0.0
TGME49_216680	0.0
TGME49_216810	0.0
TGME49_216860	0.0
TGME49_216880	0.0
TGME49_216900	0.0
TGME49_216930	0.0
TGME49_217020	0.0
TGME49_217050	0.0
TGME49_217510	0.0
TGME49_217540	0.0
TGME49_217680	1.0
TGME49_217760	0.0
TGME49_217820	0.0
TGME49_218200	0.0
TGME49_218220	0.0
TGME49_218250	0.0
TGME49_218280	0.0
TGME49_218300	0.0
TGME49_218358	0.0
TGME49_218410	0.0
TGME49_218420	0.0
TGME49_218530	0.0
TGME49_218590	0.0
TGME49_218600	0.0
TGME49_218610	0.0
TGME49_218770	0.0
TGME49_218780	0.0
TGME49_218790	0.0
TGME49_218810	0.0
TGME49_218820	0.0
TGME49_218840	0.0
TGME49_218920	0.0
TGME49_218940	0.0
TGME49_218960	0.0
TGME49_219080	0.0
TGME49_219140	0.0
TGME49_219150	0.0
TGME49_219170	0.0
TGME49_219190	0.0
TGME49_219270	0.0
TGME49_219280	0.0
TGME49_219290	0.0
TGME49_219310	0.0
TGME49_219520	0.0
TGME49_219682	0.0
TGME49_219700	0.0
TGME49_219770	0.0
TGME49_219810	1.0
TGME49_220100	0.0
TGME49_220240	1.0
TGME49_220270	0.0
TGME49_220400	0.0
TGME49_220450	0.0
TGME49_220500	0.0
TGME49_220930	0.0
TGME49_220950	1.0
TGME49_221380	0.0
TGME49_221490	0.0
TGME49_221620	0.0
TGME49_221660	0.0
TGME49_221940	0.0
TGME49_221950	0.0
TGME49_222000	0.0
TGME49_222020	0.0
TGME49_222160	0.0
TGME49_222170	1.0
TGME49_222210	0.0
TGME49_222220	0.0
TGME49_222370	0.0
TGME49_222380	0.0
TGME49_222430	0.0
TGME49_222850	0.0
TGME49_222860	0.0
TGME49_222910	0.0
TGME49_222920	0.0
TGME49_222952	0.0
TGME49_222970	0.0
TGME49_222990	0.0
TGME49_223020	0.0
TGME49_223110	0.0
TGME49_223150	0.0
TGME49_223390	0.0
TGME49_223540	0.0
TGME49_223660	0.0
TGME49_223680	0.0
TGME49_223710	0.0
TGME49_223910	0.0
TGME49_223930	0.0
TGME49_223940	0.0
TGME49_223960	0.0
TGME49_224050	0.0
TGME49_224110	0.0
TGME49_224200	0.0
TGME49_224260	0.0
TGME49_224310	0.0
TGME49_224330	0.0
TGME49_224480	0.0
TGME49_224490	0.0
TGME49_224580	0.0
TGME49_224650	0.0
TGME49_224660	0.0
TGME49_224720	0.0
TGME49_224850	0.0
TGME49_224900	0.0
TGME49_225080	0.0
TGME49_225125	0.0
TGME49_225410	0.0
TGME49_225580	0.0
TGME49_225730	0.0
TGME49_225790	0.0
TGME49_225800	0.0
TGME49_225850	0.0
TGME49_225880	0.0
TGME49_225930	0.0
TGME49_225940	0.0
TGME49_226030	0.0
TGME49_226068	0.0
TGME49_226240	0.0
TGME49_226280	0.0
TGME49_226380	1.0
TGME49_226400	0.0
TGME49_226410	0.0
TGME49_226430	0.0
TGME49_226440	0.0
TGME49_226510	0.0
TGME49_226550	0.0
TGME49_226640	0.0
TGME49_226700	0.0
TGME49_226720	0.0
TGME49_226910	0.0
TGME49_226950	0.0
TGME49_226960	0.0
TGME49_226970	0.0
TGME49_227280	1.0
TGME49_227290	0.0
TGME49_227360	0.0
TGME49_227420	0.0
TGME49_227600	0.0
TGME49_227620	1.0
TGME49_227790	0.0
TGME49_227840	0.0
TGME49_227850	0.0
TGME49_227900	0.0
TGME49_227960	0.0
TGME49_228000	0.0
TGME49_228170	1.0
TGME49_228180	0.0
TGME49_228190	0.0
TGME49_228200	0.0
TGME49_228210	0.0
TGME49_228290	0.0
TGME49_228470	0.0
TGME49_228660	0.0
TGME49_228750	0.0
TGME49_229000	0.0
TGME49_229010	1.0
TGME49_229180	0.0
TGME49_229210	0.0
TGME49_229360	0.0
TGME49_229440	0.0
TGME49_229490	0.0
TGME49_229650	0.0
TGME49_229670	0.0
TGME49_229940	0.0
TGME49_229950	0.0
TGME49_229990	0.0
TGME49_230060	0.0
TGME49_230180	1.0
TGME49_230210	0.0
TGME49_230410	0.0
TGME49_230420	0.0
TGME49_230440	0.0
TGME49_230450	0.0
TGME49_230690	0.0
TGME49_230705	1.0
TGME49_230890	0.0
TGME49_230960	0.0
TGME49_231000	0.0
TGME49_231040	0.0
TGME49_231080	0.0
TGME49_231140	0.0
TGME49_231170	0.0
TGME49_231190	0.0
TGME49_231370	0.0
TGME49_231410	0.0
TGME49_231430	0.0
TGME49_231440	0.0
TGME49_231480	0.0
TGME49_231600	0.0
TGME49_231630	0.0
TGME49_231640	0.0
TGME49_231850	0.0
TGME49_231890	0.0
TGME49_231920	0.0
TGME49_231940	0.0
TGME49_231960	1.0
TGME49_231970	0.0
TGME49_232000	1.0
TGME49_232030	0.0
TGME49_232050	0.0
TGME49_232190	0.0
TGME49_232230	0.0
TGME49_232250	0.0
TGME49_232340	0.0
TGME49_232350	0.0
TGME49_232370	0.0
TGME49_232380	0.0
TGME49_232390	0.0
TGME49_232410	0.0
TGME49_232440	0.0
TGME49_232520	0.0
TGME49_232660	0.0
TGME49_232710	0.0
TGME49_232720	0.0
TGME49_232730	0.0
TGME49_232815	0.0
TGME49_233110	0.0
TGME49_233130	0.0
TGME49_233140	0.0
TGME49_233190	0.0
TGME49_233230	0.0
TGME49_233260	0.0
TGME49_233350	0.0
TGME49_233400	0.0
TGME49_233410	0.0
TGME49_233450	0.0
TGME49_233520	0.0
TGME49_233540	0.0
TGME49_233680	0.0
TGME49_233810	0.0
TGME49_233860	0.0
TGME49_234190	0.0
TGME49_234360	0.0
TGME49_234420	0.0
TGME49_234450	0.0
TGME49_234505	0.0
TGME49_234520	0.0
TGME49_234610	0.0
TGME49_234900	0.0
TGME49_234970	0.0
TGME49_235020	0.0
TGME49_235150	0.0
TGME49_235170	0.0
TGME49_235340	0.0
TGME49_235450	0.0
TGME49_235470	0.0
TGME49_235540	0.0
TGME49_235700	0.0
TGME49_235750	0.0
TGME49_235880	0.0
TGME49_235930	0.0
TGME49_235970	0.0
TGME49_236040	0.0
TGME49_236110	0.0
TGME49_236130	0.0
TGME49_236250	0.0
TGME49_236540	0.0
TGME49_236570	0.0
TGME49_236620	0.0
TGME49_236640	0.0
TGME49_236650	0.0
TGME49_236840	0.0
TGME49_236870	1.0
TGME49_236890	1.0
TGME49_236910	0.0
TGME49_236970	0.0
TGME49_237000	0.0
TGME49_237015	1.0
TGME49_237110	0.0
TGME49_237140	0.0
TGME49_237150	0.0
TGME49_237200	0.0
TGME49_237230	1.0
TGME49_237470	0.0
TGME49_237820	0.0
TGME49_237880	1.0
TGME49_237890	0.0
TGME49_238010	0.0
TGME49_238050	0.0
TGME49_238070	0.0
TGME49_238180	0.0
TGME49_238190	0.0
TGME49_238240	0.0
TGME49_238250	0.0
TGME49_238400	0.0
TGME49_238940	0.0
TGME49_239010	1.0
TGME49_239020	0.0
TGME49_239100	0.0
TGME49_239260	0.0
TGME49_239310	0.0
TGME49_239320	0.0
TGME49_239330	0.0
TGME49_239490	0.0
TGME49_239500	0.0
TGME49_239540	0.0
TGME49_239590	0.0
TGME49_239620	0.0
TGME49_239630	0.0
TGME49_239710	0.0
