target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
attention_depth,expression_summary+interactions,median,rank,50,0.25,60,42,3000,8,2,0.0,0.6538692486007741,0.8172824550777306,,4,1
attention_depth,expression_raw+interactions,median,rank,50,0.25,25,42,3000,22,2,0.0,0.6506617162677317,0.815545710833669,,4,1
attention_depth,expression_raw+interactions,median,rank,50,0.25,60,42,3000,22,2,0.0,0.6506617162677317,0.815545710833669,,4,1
attention_depth,expression_raw+interactions,median,rank,15,0.25,60,42,3000,22,2,0.0,0.6506580415849041,0.8157099697885197,,4,1
attention_depth,expression_summary+published_screens,median,rank,15,0.25,25,42,3000,16,2,0.0,0.6499206333646563,0.8140087059754649,,4,1
attention_depth,expression_summary+published_screens,median,rank,15,0.0,25,42,3000,16,2,0.0,0.6499206333646563,0.8140087059754649,,4,1
attention_depth,expression_summary+fitness_screens,median,rank,15,0.25,25,42,3000,12,2,0.0,0.6497816020871513,0.8137739956461508,,4,1
attention_depth,expression_summary+fitness_screens,median,rank,15,0.0,25,42,3000,12,2,0.0,0.6496425197506376,0.8135391923990498,,4,1
attention_depth,expression_summary,median,rank,50,0.25,25,42,3000,4,2,0.0,0.6483884766164046,0.8114217727543129,,4,1
attention_depth,expression_summary,median,rank,50,0.0,25,42,3000,4,2,0.0,0.6481092364381917,0.8109502082920055,,4,1
attention_depth,expression_summary,median,rank,15,0.25,25,42,3000,4,2,0.0,0.6481092364381917,0.8109502082920055,,4,1
attention_depth,expression_raw+fitness_screens,median,rank,15,0.0,60,42,3000,26,2,0.134,0.6477625228864493,0.8106078385355551,,4,1
attention_depth,expression_summary+expression_raw,median,rank,50,0.25,25,42,3000,22,2,0.019,0.6470728916795053,0.8094756023486537,,4,1
attention_depth,expression_raw+fitness_screens+published_screens,median,rank,15,0.25,25,42,3000,38,3,0.08866666666666667,0.644874308519989,0.8029004614370467,,4,1
attention_depth,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,25,42,3000,24,3,0.0033333333333333335,0.6415488026965568,0.8010460671897002,,4,1
attention_depth,expression_raw+fitness_screens,median,rank,15,0.25,60,42,3000,26,2,0.41733333333333333,0.6413816542439065,0.798050139275766,,4,1
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,15,0.25,25,42,3000,30,2,0.07366666666666667,0.6405788458522962,0.8011240812797232,,4,1
attention_depth,published_screens+interactions,median,rank,15,0.25,60,42,3000,16,2,0.0,0.6402088775737919,0.8007290400972054,,4,1
