Gene ID	Total Modified Residues
TGME49_500287	1
TGME49_201760	1
TGME49_203690	1
TGME49_203810	1
TGME49_204060	1
TGME49_206450	1
TGME49_206590	2
TGME49_208010	1
TGME49_209000	1
TGME49_209130	1
TGME49_209210	2
TGME49_209290	1
TGME49_209450	2
TGME49_210980	3
TGME49_211020	2
TGME49_212880	1
TGME49_213710	1
TGME49_214090	1
TGME49_214140	2
TGME49_216220	1
TGME49_216620	1
TGME49_218250	1
TGME49_218300	1
TGME49_218960	1
TGME49_220240	1
TGME49_500135	2
TGME49_500146	1
TGME49_500179	1
TGME49_500435	2
TGME49_201120	1
TGME49_202240	1
TGME49_202410	1
TGME49_202490	1
TGME49_202760	1
TGME49_203260	1
TGME49_203710	2
TGME49_203780	1
TGME49_203910	1
TGME49_204020	1
TGME49_204880	1
TGME49_205040	1
TGME49_205220	1
TGME49_205550	1
TGME49_206580	1
TGME49_206640	2
TGME49_206670	8
TGME49_207100	1
TGME49_207990	1
TGME49_208400	1
TGME49_208970	1
TGME49_208990	1
TGME49_209250	2
TGME49_211730	1
TGME49_212090	1
TGME49_212220	1
TGME49_212780	1
TGME49_212850	1
TGME49_212860	1
TGME49_214230	1
TGME49_214440	2
TGME49_215440	1
TGME49_215775	1
TGME49_215785	1
TGME49_216580	1
TGME49_216670	1
TGME49_216960	1
TGME49_217050	1
TGME49_219290	1
TGME49_219300	1
TGME49_219520	1
TGME49_220120	1
TGME49_220190	1
TGME49_220260	9
TGME49_220360	1
TGME49_220510	1
TGME49_221200	1
TGME49_221380	5
TGME49_221620	1
TGME49_221630	1
TGME49_221710	1
TGME49_222000	1
TGME49_222240	1
TGME49_222800	1
TGME49_223080	2
TGME49_223690	1
TGME49_223880	5
TGME49_223930	1
TGME49_224160	3
TGME49_224260	2
TGME49_224580	2
TGME49_224850	1
TGME49_225560	1
TGME49_225890	2
TGME49_226250	2
TGME49_226780	1
TGME49_226970	1
TGME49_227900	2
TGME49_227930	1
TGME49_228120	11
TGME49_228150	3
TGME49_228460	4
TGME49_228670	2
TGME49_228750	2
TGME49_229020	1
TGME49_229260	1
TGME49_229310	1
TGME49_229390	1
TGME49_229470	1
TGME49_229630	1
TGME49_229650	1
TGME49_230000	1
TGME49_230220	2
TGME49_230880	4
TGME49_230940	1
TGME49_230950	1
TGME49_231010	1
TGME49_231440	1
TGME49_231630	1
TGME49_231640	1
TGME49_231815	2
TGME49_231960	2
TGME49_232080	1
TGME49_232130	2
TGME49_232250	1
TGME49_233000	2
TGME49_233120	4
TGME49_234230	2
TGME49_234270	1
TGME49_234300	1
TGME49_234310	1
TGME49_234900	2
TGME49_234970	1
TGME49_235170	1
TGME49_235350	1
TGME49_235740	1
TGME49_235930	4
TGME49_236530	2
TGME49_236540	3
TGME49_236560	4
TGME49_236910	1
TGME49_237520	1
TGME49_238050	2
TGME49_238400	1
TGME49_238510	2
TGME49_238880	1
TGME49_239250	1
TGME49_239260	1
TGME49_239560	1
TGME49_240060	1
TGME49_240660	4
TGME49_240710	1
TGME49_240890	1
TGME49_242010	2
TGME49_242580	1
TGME49_242780	1
TGME49_242830	3
TGME49_243310	1
TGME49_243960	2
TGME49_244000	1
TGME49_244910	1
TGME49_245660	3
TGME49_246970	1
TGME49_247450	1
TGME49_247730	2
TGME49_247930	1
TGME49_248720	1
TGME49_248810	2
TGME49_249020	1
TGME49_251630	2
TGME49_251770	1
TGME49_252620	1
TGME49_252850	1
TGME49_253060	1
TGME49_253140	1
TGME49_253440	1
TGME49_253600	1
TGME49_253700	1
TGME49_253750	4
TGME49_253880	1
TGME49_254370	4
TGME49_254440	1
TGME49_254710	1
TGME49_254860	1
TGME49_254940	11
TGME49_255160	1
TGME49_255180	2
TGME49_255300	2
TGME49_255940	1
TGME49_256820	2
TGME49_257350	1
TGME49_257430	2
TGME49_257470	2
TGME49_257580	2
TGME49_258130	1
TGME49_258490	1
TGME49_258710	3
TGME49_258860	3
TGME49_259200	2
TGME49_259640	2
TGME49_260150	2
TGME49_260240	1
TGME49_260380	1
TGME49_261490	3
TGME49_262420	1
TGME49_262620	6
TGME49_262780	2
TGME49_263140	1
TGME49_263320	6
TGME49_263440	1
TGME49_263510	1
TGME49_264010	2
TGME49_264210	1
TGME49_264610	5
TGME49_264640	5
TGME49_264890	2
TGME49_264960	1
TGME49_265090	1
TGME49_265250	10
TGME49_265410	1
TGME49_265530	3
TGME49_266010	2
TGME49_266960	1
TGME49_267100	1
TGME49_267370	1
TGME49_267600	1
TGME49_267750	1
TGME49_268370	1
TGME49_268840	1
TGME49_268980	1
TGME49_269180	9
TGME49_269650	6
TGME49_269700	1
TGME49_269710	5
TGME49_270640	1
TGME49_270880	4
TGME49_270930	1
TGME49_271370	1
TGME49_272010	11
TGME49_272400	1
TGME49_272710	1
TGME49_273520	3
TGME49_273720	1
TGME49_274130	1
TGME49_275802	1
TGME49_275810	2
TGME49_275990	1
TGME49_276220	1
TGME49_277790	1
TGME49_277895	1
TGME49_278030	1
TGME49_278630	1
TGME49_278870	1
TGME49_278940	1
TGME49_278950	3
TGME49_279320	1
TGME49_280560	2
TGME49_280590	2
TGME49_283740	1
TGME49_284170	1
TGME49_285490	1
TGME49_286160	1
TGME49_286230	1
TGME49_286590	1
TGME49_287480	4
TGME49_288380	1
TGME49_288800	4
TGME49_289050	2
TGME49_289290	1
TGME49_289510	1
TGME49_289540	1
TGME49_290190	3
TGME49_290270	2
TGME49_290720	1
TGME49_291180	2
TGME49_291330	7
TGME49_291930	7
TGME49_291980	1
TGME49_292020	1
TGME49_292330	1
TGME49_293230	3
TGME49_293320	1
TGME49_293480	1
TGME49_293630	1
TGME49_293840	1
TGME49_294620	6
TGME49_294630	1
TGME49_294640	1
TGME49_294710	4
TGME49_294770	1
TGME49_294840	1
TGME49_295360	1
TGME49_295590	1
TGME49_295610	1
TGME49_295710	4
TGME49_296010	2
TGME49_297430	8
TGME49_298020	3
TGME49_298610	12
TGME49_300280	4
TGME49_300330	2
TGME49_304630	1
TGME49_304650	2
TGME49_304720	1
TGME49_304760	4
TGME49_305310	1
TGME49_305520	2
TGME49_305780	5
TGME49_305790	1
TGME49_306020	1
TGME49_306220	1
TGME49_306380	8
TGME49_306440	1
TGME49_306660	3
TGME49_306900	1
TGME49_307810	1
TGME49_307860	1
TGME49_308860	3
TGME49_308890	1
TGME49_309120	1
TGME49_309140	2
TGME49_309190	1
TGME49_309200	1
TGME49_309240	1
TGME49_309250	1
TGME49_309570	2
TGME49_309590	1
TGME49_309740	3
TGME49_309960	1
TGME49_310720	1
TGME49_311060	1
TGME49_311230	2
TGME49_311430	1
TGME49_311470	1
TGME49_311625	2
TGME49_311720	1
TGME49_311765	1
TGME49_312100	2
TGME49_313030	1
TGME49_313240	1
TGME49_313270	15
TGME49_313570	1
TGME49_313810	1
TGME49_313860	1
TGME49_313910	1
TGME49_313990	2
TGME49_314840	1
TGME49_314860	5
