Gene ID	Fold Change (Avg)	Avg Ref
TGME49_200010	-1257.4	259.48
TGME49_200110	1	0.29
TGME49_200130	10.5	18.78
TGME49_200230	-10.6	25.86
TGME49_200240	10.4	25.3
TGME49_200250	6.3	370.3
TGME49_200260	1.2	2.2
TGME49_200270	10.1	85.71
TGME49_200280	-2	56.08
TGME49_200290	-3.4	344.52
TGME49_200310	1.7	326.57
TGME49_200320	19.7	128.24
TGME49_200320	19.7	128.24
TGME49_200320	19.7	128.24
TGME49_200320	19.7	128.24
TGME49_200330	-5.9	81.52
TGME49_200340	-1.4	36.6
TGME49_200350	1.2	34.16
TGME49_200360	-494.6	1061.79
TGME49_200370	-1	41.35
TGME49_200385	-114.8	68.64
TGME49_200400	-3	92.75
TGME49_200410	-2.1	11.63
TGME49_200430	-1.7	20.79
TGME49_200440	-1.7	11.45
TGME49_200450	1.2	14.19
TGME49_200460	-4.7	38.15
TGME49_200470	-2.3	79.92
TGME49_200480	127.1	0.69
TGME49_200590	-1.1	85.33
TGME49_200595	1.5	1.65
TGME49_200600	3.1	0
TGME49_200700	-185.2	410.17
TGME49_201100	807.3	0.06
TGME49_201110	1.1	53.48
TGME49_201120	-1.5	23.57
TGME49_201130	-1.4	63.59
TGME49_201140	-1.2	39.45
TGME49_201150	-2.7	32.7
TGME49_201160	-1.6	9.11
TGME49_201170	-4.2	814.37
TGME49_201180	38	9.71
TGME49_201200	-1.5	27.68
TGME49_201210	-1	11.3
TGME49_201220	-6	44.98
TGME49_201230	-1.7	19.03
TGME49_201240	1.8	26.08
TGME49_201250	1.4	38.11
TGME49_201260	-59.9	262.87
TGME49_201270	-1.7	67.07
TGME49_201380	-4.5	259.15
TGME49_201390	-9.9	1342.5
TGME49_201400	1.1	37.68
TGME49_201520	-85.7	369.71
TGME49_201630	-1.4	118.02
TGME49_201660	111.5	0
TGME49_201670	-1.5	25.45
TGME49_201680	1.2	169.83
TGME49_201690	-25.6	15.86
TGME49_201700	-1.8	125.47
TGME49_201710	1.3	21.27
TGME49_201720	1.4	30.39
TGME49_201730	-2	3.02
TGME49_201740	-3.2	38.49
TGME49_201750	34.6	0
TGME49_201760	-4.9	184.39
TGME49_201770	1.2	30.9
TGME49_201775	1	0.41
TGME49_201780	-1893	1219.15
TGME49_201785	-1447.4	337.51
TGME49_201790	-1.7	46.88
TGME49_201800	-1.2	254.43
TGME49_201810	-5.1	113.31
TGME49_201820	2.6	6.37
TGME49_201830	1.4	24.06
TGME49_201840	-3.1	244.95
TGME49_201850	1.4	31.92
TGME49_201860	-6.3	4825.54
TGME49_201870	-1.5	55.37
TGME49_201880	1.4	419.06
TGME49_201900	-1.3	29.04
TGME49_202010	2.5	26.88
TGME49_202020	-1888	267.33
TGME49_202040	-6.8	51.44
TGME49_202050	176.8	0.29
TGME49_202065	1	0
TGME49_202070	-2.7	10.07
TGME49_202080	-1.5	16.3
TGME49_202090	970.4	0.14
TGME49_202100	3055.5	0.46
TGME49_202110	826.9	2.6
TGME49_202120	-3.7	80.6
TGME49_202140	200.7	1.21
TGME49_202160	-1.3	44.05
TGME49_202170	-1.1	17.47
TGME49_202180	-2.8	28.58
TGME49_202190	-2.9	39.39
TGME49_202200	-26.2	331.38
TGME49_202205	6.4	0.06
TGME49_202210	29.3	0.08
TGME49_202220	-2.1	30.39
TGME49_202230	-1	17.39
TGME49_202240	1.1	9
TGME49_202250	-1.5	33.45
TGME49_202255	14.2	1.27
TGME49_202285	1	0
TGME49_202290	-1.5	46.06
TGME49_202300	1.8	40.69
TGME49_202310	-1.4	45.6
TGME49_202330	1	0
TGME49_202340	1.6	0.07
TGME49_202350	-1.2	56.85
TGME49_202360	1.4	14.02
TGME49_202370	1.9	188.74
TGME49_202375	-1.8	32.67
TGME49_202380	1.1	175.97
TGME49_202390	-1.8	108.92
TGME49_202400	108	0.71
TGME49_202410	-1.2	21.82
TGME49_202420	-9	88.45
TGME49_202430	-3.6	69.31
TGME49_202440	-1.4	39.02
TGME49_202445	-2.5	1.62
TGME49_202450	1.2	41.59
TGME49_202460	-1.4	50.26
TGME49_202470	-1.1	27.56
TGME49_202480	-1.2	28.61
TGME49_202490	-3.5	39.63
TGME49_202500	-5.7	1862.41
TGME49_202510	2.8	95.4
TGME49_202520	-1.2	26.25
TGME49_202530	2.1	59.41
TGME49_202540	-3.3	70.02
TGME49_202550	-4.1	29.22
TGME49_202568	-1	75.08
TGME49_202572	1.3	38.11
TGME49_202580	1.9	37.35
TGME49_202590	-1.1	27.9
TGME49_202600	1	0
