Gene ID	Score
TGME49_227400	9.3784
TGME49_226640	26.2568
TGME49_226570	15.0127
TGME49_224980	46.5056
TGME49_280560	82.9392
TGME49_280720	53.0134
TGME49_280435	14.2805
TGME49_205562	24.575
TGME49_204505	47.7411
TGME49_203930	11.2217
TGME49_234200	10.4231
TGME49_236220	16.3059
TGME49_214790	73.2483
TGME49_234270	34.4569
TGME49_281590	20.85
TGME49_239300	14.6478
TGME49_240690	46.1204
TGME49_240970	14.5556
TGME49_305220	33.6115
TGME49_305910	40.7932
TGME49_264440	41.3542
TGME49_221210	75.2733
TGME49_211290	51.9639
TGME49_237830	35.0505
TGME49_242055	28.1624
TGME49_327300	8.6488
TGME49_500120	45.1255
TGME49_294630	45.528
TGME49_294390	38.0639
TGME49_295740	38.4567
TGME49_299800	3.7075
TGME49_249760	45.6023
TGME49_250700	63.7055
TGME49_278830	53.1679
TGME49_278350	8.3392
TGME49_213300	24.6056
TGME49_216650	48.6582
TGME49_216010	19.0682
TGME49_258500	35.5059
TGME49_247350	44.7625
TGME49_247420	64.3371
TGME49_247970	21.9533
TGME49_248980	37.1631
TGME49_253000	64.4669
TGME49_253870	14.4469
TGME49_286090	68.7243
TGME49_286080	38.919
TGME49_285840	32.6449
TGME49_310950	45.2433
TGME49_232630	56.8835
TGME49_314270	29.4802
TGME49_315080	36.2265
TGME49_315740	12.2771
TGME49_231910	49.4257
TGME49_231940	44.7097
TGME49_264130	28.1266
TGME49_272640	54.4289
TGME49_500404	28.8934
TGME49_263130	73.8881
TGME49_263120	28.5583
TGME49_208010	42.9059
TGME49_225560	52.1291
TGME49_304720	37.5035
TGME49_206540	113.0036
TGME49_201660	39.2376
TGME49_201690	120.2441
TGME49_320610	21.7014
TGME49_320592	36.7376
TGME49_319360	100.325
TGME49_319340	51.7073
TGME49_222910	52.5606
TGME49_319650	58.169
TGME49_215430	35.1195
TGME49_226510	28.8345
TGME49_225470	38.0929
TGME49_212170	27.1373
TGME49_207040	61.847
TGME49_500407	9.2753
TGME49_239930	18.5535
TGME49_265260	113.3678
TGME49_289320	53.5434
TGME49_500357	21.9183
TGME49_291650	41.2576
TGME49_307603	10.4761
TGME49_305090	49.9748
TGME49_305320	30.469
TGME49_306410	30.4234
TGME49_240590	42.6594
TGME49_243530	26.5069
TGME49_293280	41.7393
TGME49_295040	56.5031
TGME49_294260	5.5159
TGME49_500177	19.8361
TGME49_500171	21.8572
TGME49_307980	29.1774
TGME49_218830	67.261
TGME49_245530	47.65
TGME49_246740	11.1419
TGME49_247670	31.3058
TGME49_250890	30.4814
TGME49_250940	4.2204
TGME49_278245	65.7442
TGME49_276960	10.5745
TGME49_285490	24.5441
TGME49_310260	34.8738
TGME49_311100	105.6186
TGME49_216070	16.0539
TGME49_261440	71.5521
TGME49_256910	17.3965
TGME49_217860	12.0782
TGME49_245610	49.634
TGME49_276220	19.5173
TGME49_275600	12.5693
TGME49_252320	26.4611
TGME49_251730	20.3383
TGME49_500253	4.9754
TGME49_253440	74.6026
TGME49_285770	24.2462
TGME49_284580	38.7787
TGME49_310480	16.8848
TGME49_216670	63.294
TGME49_233350	46.5646
TGME49_273580	34.2627
TGME49_263730	29.2411
TGME49_270450	40.0583
TGME49_269970	66.6871
TGME49_500004	33.4623
TGME49_307480	28.3646
TGME49_208050	41.8977
TGME49_227130	34.4153
TGME49_226720	38.3814
TGME49_280450	26.866
TGME49_204300	3.9281
TGME49_212270	80.5273
TGME49_235540	27.1373
TGME49_214610	18.1426
TGME49_215530	80.0771
TGME49_227070	33.4182
TGME49_224740	44.425
TGME49_224610	18.9337
TGME49_234165	89.1499
TGME49_235170	65.238
TGME49_215230	46.1349
TGME49_211650	50.1889
TGME49_241160	4.1354
TGME49_243930	57.9311
TGME49_266730	16.2419
TGME49_266050	64.0126
TGME49_500258	16.4365
TGME49_305920	40.7932
TGME49_265820	50.0627
TGME49_265050	20.9831
TGME49_264950	22.5941
TGME49_320005	57.6576
TGME49_210970	41.4723
TGME49_243500	5.0257
TGME49_244010	60.7888
TGME49_292610	28.1046
TGME49_219190	60.3625
TGME49_248300	31.8064
TGME49_249780	41.2517
TGME49_250090	48.5705
TGME49_251500	37.0746
TGME49_278020	27.6928
TGME49_276970	48.3451
TGME49_306970	22.2604
TGME49_312260	32.1132
TGME49_313560	45.2782
TGME49_314715	40.4894
TGME49_262470	9.6324
TGME49_299980	37.0942
TGME49_307760	58.1429
TGME49_218570	34.2196
TGME49_218420	44.3407
TGME49_277560	15.6207
TGME49_213580	32.6551
TGME49_283470	3.1726
TGME49_229000	58.1071
TGME49_311370	30.0807
TGME49_312670	38.8561
TGME49_231000	26.6814
TGME49_232160	62.8915
TGME49_232510	21.7406
TGME49_232830	47.1948
TGME49_233790	26.932
TGME49_262690	25.3219
TGME49_270520	53.3972
TGME49_260325	18.0745
TGME49_259610	30.4194
TGME49_257110	29.8749
TGME49_231600	42.8138
TGME49_233520	38.0987
TGME49_270220	46.1864
TGME49_209570	29.0154
TGME49_263245	10.5078
TGME49_208850	62.998
TGME49_224150	16.9092
TGME49_500349	3.6913
TGME49_215600	52.1359
TGME49_224810	30.4257
TGME49_224310	36.1602
TGME49_224260	22.5306
TGME49_224060	68.2572
TGME49_235560	25.2895
TGME49_237250	50.6982
TGME49_206300	14.4579
TGME49_211420	53.2615
TGME49_500039	11.0628
TGME49_243470	11.7264
TGME49_267520	6.0506
TGME49_289930	127.2675
TGME49_210345	28.3425
TGME49_306560	34.6337
TGME49_290630	36.2662
TGME49_244370	38.3082
TGME49_294300	48.8986
TGME49_293040	3.5351
TGME49_295370	50.0619
TGME49_219180	19.6969
TGME49_217790	31.9558
TGME49_249830	88.9384
TGME49_250880	31.265
TGME49_276950	10.8067
TGME49_213770	21.8347
TGME49_316110	24.5221
TGME49_316470	28.4784
TGME49_216415	29.8945
TGME49_216190	25.4741
TGME49_260450	24.6749
TGME49_300048	3.7769
TGME49_249365	30.8992
TGME49_250780	59.1221
TGME49_253540	8.9974
TGME49_298830	2.9762
TGME49_309420	19.2017
TGME49_500440	160.0116
TGME49_313350	45.4624
TGME49_231865	32.896
TGME49_314490	3.8172
TGME49_500121	17.2807
TGME49_217050	82.3564
TGME49_273550	20.556
TGME49_262910	34.3565
TGME49_262390	169.1127
TGME49_271600	47.7124
TGME49_270620	8.3578
TGME49_258450	19.6254
TGME49_258085	17.1336
TGME49_270520	53.3972
TGME49_500355	50.9926
TGME49_209910	44.2106
TGME49_205265	51.1855
TGME49_204420	11.0057
TGME49_203080	32.445
TGME49_202290	29.2612
TGME49_204320	50.712
TGME49_235980	33.3595
TGME49_214630	40.9288
TGME49_215700	37.0509
TGME49_203090	12.4489
TGME49_318210	36.7553
TGME49_244870	34.8823
TGME49_306590	43.2413
TGME49_306610	25.7621
TGME49_306670	42.0278
TGME49_228380	31.1153
TGME49_226730	72.1875
TGME49_289520	40.7959
TGME49_500187	14.851
TGME49_500210	33.6964
TGME49_293730	20.6428
TGME49_293520	31.6275
TGME49_500221	49.9315
TGME49_248240	19.7728
TGME49_249560	29.3935
TGME49_277250	58.8691
TGME49_286190	32.8304
TGME49_309860	72.1697
TGME49_310590	16.5355
TGME49_313590	33.4004
TGME49_500309	9.4143
TGME49_314440	7.4906
TGME49_500163	24.2372
TGME49_300120	44.63
TGME49_248370	31.2506
TGME49_277730	74.2905
TGME49_213840	17.0519
TGME49_285260	6.6826
TGME49_312480	40.1917
TGME49_232500	70.1165
TGME49_257540	26.6112
TGME49_269400	5.6689
TGME49_268290	20.4131
TGME49_273380	28.6853
TGME49_272410	61.5227
TGME49_267990	4.7966
TGME49_262980	21.0987
TGME49_227650	38.6087
TGME49_225105	8.4022
TGME49_224230	35.7194
TGME49_500117	37.7722
TGME49_206330	27.5326
TGME49_205380	44.0957
TGME49_206700	16.8916
TGME49_203690	46.2275
TGME49_202230	38.5151
TGME49_204100	39.4962
TGME49_202050	51.9949
TGME49_281930	37.3794
TGME49_214440	74.476
TGME49_225860	13.1509
TGME49_298050	29.9799
TGME49_244880	20.6479
TGME49_267150	34.4629
TGME49_305240	25.7226
TGME49_265330	71.7879
TGME49_264820	43.5748
TGME49_243390	73.8192
TGME49_294970	104.5427
TGME49_500293	57.5463
TGME49_500290	38.6759
TGME49_218940	35.568
TGME49_251900	8.087
TGME49_278040	29.807
TGME49_310010	47.2162
TGME49_310177	39.9282
TGME49_313180	56.3419
TGME49_315500	15.7997
TGME49_262020	9.928
TGME49_276120	17.3551
TGME49_275780	45.6387
TGME49_254100	10.2689
TGME49_213325	57.1765
TGME49_299240	42.5973
TGME49_230205	74.9559
TGME49_313055	45.5726
TGME49_232700	53.9152
TGME49_315460	23.5394
TGME49_316780	10.8766
TGME49_272270	60.9964
TGME49_262730	38.4043
TGME49_262620	100.6504
TGME49_229990	32.9773
TGME49_231140	40.1571
TGME49_233540	36.3109
TGME49_270890	50.4397
TGME49_270520	53.3972
TGME49_269990	57.5404
TGME49_208020	73.8924
TGME49_207390	42.4002
TGME49_209090	54.9061
TGME49_276810	7.0173
TGME49_203540	91.4644
TGME49_202700	42.501
TGME49_202660	32.6877
TGME49_202410	35.3197
TGME49_201860	33.3541
TGME49_223930	49.1788
TGME49_212280	56.5784
TGME49_275380	19.9038
TGME49_226930	37.0381
TGME49_236210	36.8398
TGME49_222192	27.9242
TGME49_319620	27.1365
TGME49_221180	89.6863
TGME49_221580	60.6855
TGME49_239800	17.6058
TGME49_240740	21.6333
TGME49_265790	74.5216
TGME49_264650	24.3738
TGME49_305870	15.7733
TGME49_288280	16.1634
TGME49_244460	47.0171
TGME49_294100	8.4099
TGME49_295460	63.3049
TGME49_294860	49.3409
TGME49_220208	28.9102
TGME49_287250	85.8254
TGME49_283760	40.7524
TGME49_315980	35.0057
TGME49_300150	66.8347
TGME49_218920	50.489
TGME49_217688	71.1921
TGME49_275710	42.776
TGME49_253550	8.9974
TGME49_286260	25.1356
TGME49_254510	33.8356
TGME49_500114	15.3185
TGME49_310740	23.0209
TGME49_230980	29.5369
TGME49_233245	21.2762
TGME49_314390	37.1282
TGME49_315958	15.7648
TGME49_272600	4.1219
TGME49_262750	24.6064
TGME49_257440	40.2436
TGME49_233490	33.4529
TGME49_233550	21.0394
TGME49_270520	53.3972
TGME49_269920	50.9338
TGME49_207650	63.9127
TGME49_268570	25.4513
TGME49_500161	53.7115
TGME49_224090	68.8246
TGME49_235880	37.7722
