gene_id	gene_name	previous_ids	product
TGME49_200010	GRA20	Previous IDs: 1.m00014;1923.t000245;1923.t000245;1923.t000245;1923.t000245;TGME49_000010;TGME49_000010;TGME49_000010;TGME49_000010;TgGlmHMM_2587;TgTigrScan_5722;mrna.TGME49_000010A;tigr:cds.TGME49_000010A	dense granule protein GRA20
TGME49_200110	N/A	Previous IDs: 1923.t000910;1923.t000910;1923.t000910;1923.t000910;2.m00067;TGME49_000110;TGME49_000110;TGME49_000110;TGME49_000110;TgGlmHMM_2589;TgTigrScan_0544;TgTwinScan_2352;mrna.TGME49_000110A;tigr:cds.TGME49_000110A	hypothetical protein
TGME49_200130	N/A	Previous IDs: 1923.t000909;1923.t000909;1923.t000909;1923.t000909;TGME49_000130;TGME49_000130;TGME49_000130;TGME49_000130;TgGlmHMM_2590;TgTwinScan_2355;mrna.TGME49_000130A;tigr:cds.TGME49_000130A	Toxoplasma gondii family C protein
TGME49_200230	MIC17C	Previous IDs: 1933.t000980;1933.t000980;1933.t000980;1933.t000980;8.m00176;TGME49_000230;TGME49_000230;TGME49_000230;TGME49_000230;TgGLEAN_5657;TgGlmHMM_2593;TgTigrScan_4897;TgTwinScan_2357;mrna.TGME49_000230A;tigr:cds.TGME49_000230A	microneme protein MIC17C
TGME49_200240	MIC17B	Previous IDs: 1933.t000027;1933.t000027;1933.t000027;1933.t000027;8.m00177;TGME49_000240;TGME49_000240;TGME49_000240;TGME49_000240;TgGLEAN_5656;TgGlmHMM_2593;TgTigrScan_4898;TgTwinScan_2358;mrna.TGME49_000240A;tigr:cds.TGME49_000240A	microneme protein MIC17B
TGME49_200250	MIC17A	Previous IDs: 1933.t000026;1933.t000026;1933.t000026;1933.t000026;8.m00178;TGME49_000250;TGME49_000250;TGME49_000250;TGME49_000250;TgGLEAN_5655;TgGlmHMM_2593;TgTigrScan_4899;TgTwinScan_2359;mrna.TGME49_000250A;tigr:cds.TGME49_000250A	microneme protein MIC17A
TGME49_200260	N/A	Previous IDs: 1933.t000025;1933.t000025;1933.t000025;1933.t000025;TGME49_000260;TGME49_000260;TGME49_000260;TGME49_000260;mrna.TGME49_000260A;tigr:cds.TGME49_000260A	hypothetical protein
TGME49_200270	N/A	Previous IDs: 1933.t000024;1933.t000024;1933.t000024;1933.t000024;8.m00179;TGME49_000270;TGME49_000270;TGME49_000270;TGME49_000270;TgGLEAN_5658;TgGlmHMM_2595;TgTigrScan_4901;TgTwinScan_2361;mrna.TGME49_000270A;tigr:cds.TGME49_000270A	PAN/Apple domain-containing protein
TGME49_200280	N/A	Previous IDs: 1933.t000023;1933.t000023;1933.t000023;1933.t000023;8.m00180;TGME49_000280;TGME49_000280;TGME49_000280;TGME49_000280;TgGLEAN_5653;TgGlmHMM_2596;TgTigrScan_4902;TgTwinScan_2362;mrna.TGME49_000280A;tigr:cds.TGME49_000280A	WD domain, G-beta repeat-containing protein
TGME49_200290	ROM1	Previous IDs: 1933.t000022;1933.t000022;1933.t000022;1933.t000022;8.m00181;TGME49_000290;TGME49_000290;TGME49_000290;TGME49_000290;TgGLEAN_5660;TgGlmHMM_2597;TgTigrScan_4904;TgTwinScan_2363;mrna.TGME49_000290A;tigr:cds.TGME49_000290A	rhomboid protease ROM1
TGME49_200310	N/A	Previous IDs: 1933.t000019;1933.t000019;1933.t000019;1933.t000019;8.m00182;TGME49_000310;TGME49_000310;TGME49_000310;TGME49_000310;TgGLEAN_5651;TgGlmHMM_2598;TgTigrScan_4906;TgTwinScan_2365;mrna.TGME49_000310A;tigr:cds.TGME49_000310A	hypothetical protein
TGME49_200320	HXGPRT	Previous IDs: 1933.t000018;1933.t000018;1933.t000018;1933.t000018;8.m00002;TGME49_000320;TGME49_000320;TGME49_000320;TGME49_000320;TgGLEAN_5661;TgGlmHMM_2599;TgTigrScan_4907;TgTwinScan_2366;mrna.TGME49_000320A;tigr:cds.TGME49_000320A	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT
TGME49_200320	HXGPRT	Previous IDs: 1933.t000018;1933.t000018;1933.t000018;1933.t000018;8.m00002;TGME49_000320;TGME49_000320;TGME49_000320;TGME49_000320;TgGLEAN_5661;TgGlmHMM_2599;TgTigrScan_4907;TgTwinScan_2366;mrna.TGME49_000320A;tigr:cds.TGME49_000320A	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT
TGME49_200320	HXGPRT	Previous IDs: 1933.t000018;1933.t000018;1933.t000018;1933.t000018;8.m00002;TGME49_000320;TGME49_000320;TGME49_000320;TGME49_000320;TgGLEAN_5661;TgGlmHMM_2599;TgTigrScan_4907;TgTwinScan_2366;mrna.TGME49_000320A;tigr:cds.TGME49_000320A	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT
TGME49_200320	HXGPRT	Previous IDs: 1933.t000018;1933.t000018;1933.t000018;1933.t000018;8.m00002;TGME49_000320;TGME49_000320;TGME49_000320;TGME49_000320;TgGLEAN_5661;TgGlmHMM_2599;TgTigrScan_4907;TgTwinScan_2366;mrna.TGME49_000320A;tigr:cds.TGME49_000320A	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT
TGME49_200330	BCC9	Previous IDs: 1933.t000017;1933.t000017;1933.t000017;1933.t000017;8.m00184;TGME49_000330;TGME49_000330;TGME49_000330;TGME49_000330;TgGLEAN_5649;TgGLEAN_5650;TgGlmHMM_2600;TgTigrScan_4909;TgTwinScan_2367;mrna.TGME49_000330A;tigr:cds.TGME49_000330A	basal complex component BCC9
TGME49_200340	N/A	Previous IDs: 1933.t000016;1933.t000016;1933.t000016;1933.t000016;8.m00375;TGME49_000340;TGME49_000340;TGME49_000340;TGME49_000340;mrna.TGME49_000340A;tigr:cds.TGME49_000340A	hypothetical protein
TGME49_200350	SUB3	Previous IDs: 1933.t000015;1933.t000015;1933.t000015;1933.t000015;8.m00185;TGME49_000350;TGME49_000350;TGME49_000350;TGME49_000350;TgGLEAN_5663;TgGlmHMM_2601;TgTigrScan_4910;TgTwinScan_2368;mrna.TGME49_000350A;tigr:cds.TGME49_000350A	subtilisin SUB3
TGME49_200360	N/A	Previous IDs: 1933.t000014;1933.t000014;1933.t000014;1933.t000014;8.m00004;TGME49_000360;TGME49_000360;TGME49_000360;TGME49_000360;TgGLEAN_5664;TgGlmHMM_2602;TgTigrScan_4912;mrna.TGME49_000360A;tigr:cds.TGME49_000360A	hypothetical protein
