Gene ID	Min %ile (Within Chosen Samples)
TGME49_256840	63.3
TGME49_257460	0
TGME49_257490	82.2
TGME49_305950	50
TGME49_306390	95.6
TGME49_217650	0
TGME49_235680	38.6
TGME49_235730	74.3
TGME49_257710	54.9
TGME49_278070	37
TGME49_278220	35.6
TGME49_278230	50.4
TGME49_306510	73.1
TGME49_500265	23
TGME49_500312	94.2
TGME49_500332	11.8
TGME49_218470	68.3
TGME49_218500	27.6
TGME49_218550	93.6
TGME49_236570	93.4
TGME49_259570	80.8
TGME49_280600	73.2
TGME49_308880	34.9
TGME49_309570	52
TGME49_500386	78.7
TGME49_238150	93.9
TGME49_238460	11.9
TGME49_259980	70.2
TGME49_260250	74.4
TGME49_260610	46.1
TGME49_310170	78
TGME49_310200	32.1
TGME49_220208	26.1
TGME49_220500	91.4
TGME49_240200	10.1
TGME49_261080	40.3
TGME49_262120	80.7
TGME49_262390	54.3
TGME49_262410	56.4
TGME49_311180	27.3
TGME49_221410	53.5
TGME49_221560	0
TGME49_222070	23.7
TGME49_222090	82.8
TGME49_240430	29.2
TGME49_286190	67
TGME49_286260	62.7
TGME49_311780	63
TGME49_223125	79.2
TGME49_263700	98.7
TGME49_288620	86
TGME49_243390	61.3
TGME49_244110	95.3
TGME49_244200	73.1
TGME49_264890	27.3
TGME49_265220	74.4
TGME49_265360	40.7
TGME49_289200	22.4
TGME49_289550	65
TGME49_314265	33.8
TGME49_314350	15.6
TGME49_225410	61.3
TGME49_290860	69.2
TGME49_314730	36.2
TGME49_226230	0
TGME49_247280	75
TGME49_226620	22.8
TGME49_227010	36.6
TGME49_247750	0
TGME49_269130	45
TGME49_293340	94.9
TGME49_293500	48.1
TGME49_318160	95.8
TGME49_318180	13.2
TGME49_318460	55.7
TGME49_227420	56.5
TGME49_248500	70.4
TGME49_248730	19.7
TGME49_295105	99.3
TGME49_228620	19.1
TGME49_229280	88.9
TGME49_229370	46.7
TGME49_229470	77.7
TGME49_229750	54.7
TGME49_249750	10.1
TGME49_250340	91.5
TGME49_271174	19.4
TGME49_297130	73.8
TGME49_297310	0
TGME49_322100	17.1
TGME49_230135	13.5
TGME49_230535	10.9
TGME49_250900	41
TGME49_251570	35.5
TGME49_272350	44.3
TGME49_323600	15
TGME49_214470	52.2
TGME49_272740	83.5
TGME49_273100	30.1
TGME49_273120	56.7
TGME49_215100	27.6
TGME49_215230	76
TGME49_232580	20.2
TGME49_232680	36.4
TGME49_233290	11
TGME49_233310	58.7
TGME49_233320	23.5
TGME49_253850	50.3
TGME49_254190	19
TGME49_254280	35.7
TGME49_273720	64.9
TGME49_216160	82.1
TGME49_216510	70.8
TGME49_233950	23.7
TGME49_254870	82.6
TGME49_255190	89.3
TGME49_255690	43.3
TGME49_209710	68.7
TGME49_205460	60.5
TGME49_207240	85.2
TGME49_208030	98.1
TGME49_211650	69.4
TGME49_212220	81.4
TGME49_202910	13.1
TGME49_203330	14.7
TGME49_277010	51.8
TGME49_277080	99.8
TGME49_277690	52.7
TGME49_216590	74.1
TGME49_257970	15.7
TGME49_258060	90.3
TGME49_278510	93.2
TGME49_306455	54.4
TGME49_217692	29.4
TGME49_218810	78.4
TGME49_236910	89.9
TGME49_237160	40.9
TGME49_258832	51.7
TGME49_309190	65.4
TGME49_500398	19.1
TGME49_500408	72.8
TGME49_219640	30.3
TGME49_238870	57.9
TGME49_259895	0
TGME49_283450	26
TGME49_283500	13.7
TGME49_220640	81
TGME49_239340	47.5
TGME49_239890	95.5
TGME49_284180	89.5
TGME49_285680	66.1
TGME49_311360	65.6
TGME49_221390	76.9
TGME49_221440	41.2
TGME49_222000	70.4
TGME49_240810	73.1
TGME49_286460	16.8
TGME49_286630	95.2
TGME49_311740	30.5
TGME49_311800	83.5
TGME49_312220	80.1
TGME49_222210	56.5
TGME49_222940	23.5
TGME49_242650	49
TGME49_243240	56
TGME49_263470	80.3
TGME49_287990	0
TGME49_223845	25.6
TGME49_243480	43.2
TGME49_243770	0
TGME49_243950	89.1
TGME49_264940	71.7
TGME49_265230	27.4
TGME49_265340	35.9
TGME49_289370	93
TGME49_245650	49.6
TGME49_290923	0
TGME49_315240	17.6
TGME49_315440	53.2
TGME49_315700	56.7
TGME49_225880	44.3
TGME49_225958	0
TGME49_226340	74
TGME49_247025	20.6
TGME49_315750	91.5
TGME49_226470	60.4
TGME49_226780	32.6
TGME49_227030	92.3
TGME49_227270	48
TGME49_247530	94.5
TGME49_247760	81.1
TGME49_317720	90.5
TGME49_318770	44.1
TGME49_227910	95.5
TGME49_269690	92.4
TGME49_294420	36.5
TGME49_319730	75.7
TGME49_320470	76.2
TGME49_228490	84.4
TGME49_229140	84
TGME49_229710	65.5
TGME49_249540	38
TGME49_249960	10.1
TGME49_320680	16.9
TGME49_212820	49.7
TGME49_213240	65.9
TGME49_213370	40.6
TGME49_230590	40
TGME49_230690	77.1
TGME49_230705	91.5
TGME49_250955	62.7
TGME49_251440	69.6
TGME49_271840	42.5
TGME49_272383	35.6
TGME49_299150	29.4
TGME49_324200	0
TGME49_326200	0
TGME49_231160	97.5
TGME49_252300	17.2
TGME49_253480	19.3
TGME49_301260	0
TGME49_500006	18.8
TGME49_500010	74.5
TGME49_214740	32.4
TGME49_215030	35.3
TGME49_273815	45.4
TGME49_274140	24.7
TGME49_275600	0
TGME49_302053	0
TGME49_500122	0
TGME49_215700	22.5
TGME49_216020	45.1
TGME49_216220	80.8
TGME49_233470	78.6
TGME49_233540	40.4
TGME49_254730	21.5
TGME49_254830	88.8
TGME49_255175	0
TGME49_255300	48.6
TGME49_255470	40.6
TGME49_209705	0
TGME49_210412	58.5
TGME49_205640	65.4
TGME49_205720	31.2
TGME49_207710	58.5
TGME49_200230	93.6
TGME49_200330	81.3
TGME49_201750	20.8
TGME49_201820	23.4
TGME49_208810	67.3
TGME49_209070	87.2
TGME49_210840	77
TGME49_203110	22.9
TGME49_203700	77.5
TGME49_256030	92.2
TGME49_276210	79.5
TGME49_306060	84.1
TGME49_235635	22.7
TGME49_236070	91.3
TGME49_278240	16.4
TGME49_307270	44.8
TGME49_307570	77.8
TGME49_500304	22.4
TGME49_500314	41.9
TGME49_217726	48.8
TGME49_218530	83.3
TGME49_236520	54.4
TGME49_237070	87
TGME49_278890	34.1
TGME49_308870	53.5
TGME49_308950	94.5
TGME49_219700	77.4
TGME49_237800	74.5
TGME49_260375	15.9
TGME49_280780	21.2
TGME49_309840	15.8
TGME49_310173	13.4
TGME49_310340	27.2
TGME49_220350	48.3
TGME49_284660	63.5
TGME49_311375	0
TGME49_221340	30.3
TGME49_221600	34.1
TGME49_240525	0
TGME49_240830	44.6
TGME49_262980	67.3
TGME49_263260	80.3
TGME49_312510	33.3
TGME49_222380	71.5
TGME49_243310	45
TGME49_263690	55
TGME49_288455	40.8
TGME49_313385	64.4
TGME49_223950	59
TGME49_224575	16.8
TGME49_244070	0
TGME49_264860	22.8
TGME49_265090	67.6
TGME49_265830	41.3
TGME49_224710	27.2
TGME49_225200	90.1
TGME49_244910	50.3
TGME49_245570	61.4
TGME49_245760	58.4
TGME49_290910	52.4
TGME49_315230	27.8
TGME49_315450	18.8
