Gene ID	Fold Difference
TGGT1_363030	-3.12
TGGT1_221510	-1.21
TGGT1_221870	4.6
TGGT1_254120	-1.89
TGGT1_318440	25.32
TGGT1_318410	-1.91
TGGT1_318230	-3.5
TGGT1_211630	-1.54
TGGT1_211040	-4.15
TGGT1_301130	2.86
TGGT1_267810	-1.31
TGGT1_266100	-6.26
TGGT1_266080	1.72
TGGT1_266070	3.98
TGGT1_266060	-1.58
TGGT1_290585	1.19
TGGT1_291890	1.07
TGGT1_307570	-1.16
TGGT1_306280	1.11
TGGT1_295360	-1.71
TGGT1_209720	1.36
TGGT1_286410	4.9
TGGT1_283510	1.4
TGGT1_238150	-3.06
TGGT1_239760	-5.63
TGGT1_242840	1.53
TGGT1_243690	-7.14
TGGT1_243730	68.97
TGGT1_229010	2.44
TGGT1_232030	-1.44
TGGT1_232300	-2.74
TGGT1_232710	-1.84
TGGT1_271090	1.44
TGGT1_268360	1.12
TGGT1_304660	-1.29
TGGT1_205580	-1.7
TGGT1_281930	3.1
TGGT1_263360	4.31
TGGT1_262640	1.44
TGGT1_261250	4.12
TGGT1_258660	1.02
TGGT1_227970	1.19
TGGT1_227040	11.2
TGGT1_225940	-1.22
TGGT1_224590	1.13
TGGT1_223485	-3.62
TGGT1_212290	-1.57
TGGT1_237490	1.19
TGGT1_215460	-2.15
TGGT1_215470	-3.53
TGGT1_309740	-2.41
TGGT1_310810	-12.95
TGGT1_312510	-1.07
TGGT1_313380	2.15
TGGT1_216860	-2.11
TGGT1_300290	-1.07
TGGT1_300190	1.49
TGGT1_217510	-2.41
TGGT1_246940	1.05
TGGT1_247550	-6.16
TGGT1_247960	-2.34
TGGT1_249250	-30.48
TGGT1_251430	3.49
TGGT1_284310	-1.48
TGGT1_297070	-3.06
TGGT1_253430	3.76
TGGT1_320170	-41.12
TGGT1_320070	-1.01
TGGT1_319920	-1.89
TGGT1_318160	1.09
TGGT1_210690	-4.15
TGGT1_301440	-1.73
TGGT1_267140	2.37
TGGT1_266620	11.6
TGGT1_288830	-2.29
TGGT1_306650	-1.01
TGGT1_293300	1.51
TGGT1_294200	-1.84
TGGT1_294250	1.9
TGGT1_220300	1.41
TGGT1_285680	-1.03
TGGT1_239890	-2.9
TGGT1_243400	2.33
TGGT1_230380	-2.87
TGGT1_231140	-4.32
TGGT1_231640	2.43
TGGT1_233040	1.73
TGGT1_233100	-4.15
TGGT1_233480	-8.04
TGGT1_274060	-1.76
TGGT1_271970	-1.78
TGGT1_271930	1.99
TGGT1_270510	-2.73
TGGT1_269980	1.03
TGGT1_269190	1.32
TGGT1_268850	-9.01
TGGT1_268835	-2.04
TGGT1_205330	3.52
TGGT1_261570	7.52
TGGT1_258730	2.14
TGGT1_258410	2.15
TGGT1_255510	-1.67
TGGT1_227620	-3.87
TGGT1_225820	-1.06
TGGT1_224960	1.04
TGGT1_236530	1.37
TGGT1_214790	-3.35
TGGT1_275440	1.74
TGGT1_310030	1.49
TGGT1_310070	-1.71
TGGT1_310360	-1.02
TGGT1_310790	-16.1
TGGT1_311290	1.7
TGGT1_313290	4.53
TGGT1_216670	-1.95
TGGT1_300240	1.81
TGGT1_299780	-5.67
TGGT1_245680	-7.88
TGGT1_247930	-1.14
TGGT1_248390	-3.19
TGGT1_248700	-2
TGGT1_221690	-5.12
TGGT1_210800	1.31
TGGT1_266640	1.21
TGGT1_266630	2.79
TGGT1_290030	-1.15
TGGT1_305850	-1.04
TGGT1_306290	1.35
TGGT1_293040	3.6
TGGT1_293690	-2.77
TGGT1_208530	2.53
TGGT1_220100	-1.45
TGGT1_213280	5.67
TGGT1_285240	-1.04
TGGT1_238010	6.25
TGGT1_238250	7.52
TGGT1_239100	-1.87
TGGT1_240060	-1.54
TGGT1_243790	1.1
TGGT1_244200	1.53
TGGT1_244440	1.21
TGGT1_230060	4.78
TGGT1_231160	2.13
TGGT1_233450	-3.14
TGGT1_273930	-2.31
TGGT1_273120	-5.84
TGGT1_269885A	-1.63
TGGT1_268590	1.04
TGGT1_280580	-10.85
TGGT1_280480	-1.18
TGGT1_205350	1.7
TGGT1_205030	-1.24
TGGT1_203600	1.74
TGGT1_263810	-3.04
TGGT1_259000	-13.67
TGGT1_258580	-1.77
TGGT1_258130	1.74
TGGT1_228420	2.61
TGGT1_228320	1.01
TGGT1_227810	1.57
TGGT1_226860	-1.95
TGGT1_215430	-2.92
TGGT1_215680	-3.62
TGGT1_310150	-11.17
TGGT1_310420	1.95
TGGT1_310670	-1.27
TGGT1_311470	-1.46
TGGT1_311480	1.71
TGGT1_312160	-1.62
TGGT1_312820	-4.44
TGGT1_314100	1.06
TGGT1_316140	-2.67
TGGT1_316340	1.28
TGGT1_316540	-1.16
TGGT1_217010	-9.71
TGGT1_216610	-17.25
TGGT1_218280	-3.89
TGGT1_245470	1.29
TGGT1_246000	9.02
TGGT1_248810	-24.25
TGGT1_251840	1.74
TGGT1_276860	-1.91
TGGT1_297400	2.16
TGGT1_252390	-115.87
TGGT1_299050	32.66
TGGT1_320592	-35
TGGT1_319530	-2.67
TGGT1_301170	-11.9
TGGT1_279390	-2.29
TGGT1_267060	9.14
TGGT1_264440	1.36
TGGT1_288500	-2.06
TGGT1_288720	-2.06
TGGT1_290950	5.15
TGGT1_304890	3.84
TGGT1_306640	3.56
TGGT1_293510	-2.16
TGGT1_208030	-1.93
TGGT1_208790	-1.67
TGGT1_220270	-1.4
TGGT1_286530	-1.61
TGGT1_238040B	-1.36
TGGT1_239490	-1.66
TGGT1_242070	1.29
TGGT1_242290	-1.49
TGGT1_243390	1.68
TGGT1_244110	-1.41
TGGT1_231630	3.01
TGGT1_231930	1.91
TGGT1_232130	-3.87
TGGT1_232350	-2.11
TGGT1_203330	1.45
TGGT1_202200	-12.09
