Gene ID	Fold Difference
TGGT1_363030	-1.49
TGGT1_221510	-1.03
TGGT1_221870	1.41
TGGT1_254120	1.18
TGGT1_318440	3.19
TGGT1_318410	2.48
TGGT1_318230	3.87
TGGT1_211630	5.13
TGGT1_211040	1.78
TGGT1_301130	5.8
TGGT1_267810	2.09
TGGT1_266100	1.71
TGGT1_266080	1.82
TGGT1_266070	-1.25
TGGT1_266060	1.52
TGGT1_290585	2.03
TGGT1_291890	1.52
TGGT1_307570	2.51
TGGT1_306280	1.97
TGGT1_295360	1.69
TGGT1_209720	2.55
TGGT1_286410	1.89
TGGT1_283510	2.26
TGGT1_238150	1.42
TGGT1_239760	-1.51
TGGT1_242840	4.93
TGGT1_243690	2.57
TGGT1_243730	2.85
TGGT1_229010	1.15
TGGT1_232030	2.83
TGGT1_232300	-1.03
TGGT1_232710	-1.25
TGGT1_271090	2.94
TGGT1_268360	2.46
TGGT1_304660	1.55
TGGT1_205580	-1.59
TGGT1_281930	13.29
TGGT1_263360	4.75
TGGT1_262640	3.53
TGGT1_261250	2.57
TGGT1_258660	4.52
TGGT1_257030	1.06
TGGT1_227970	3.19
TGGT1_227040	4.82
TGGT1_225940	2.75
TGGT1_224590	-1.18
TGGT1_223485	2.26
TGGT1_212290	2.03
TGGT1_237490	3.01
TGGT1_215460	1.02
TGGT1_215470	1.28
TGGT1_309740	3.76
TGGT1_310810	1.85
TGGT1_312510	1.28
TGGT1_313380	3.06
TGGT1_216860	-1.15
TGGT1_300290	1.9
TGGT1_300190	1.22
TGGT1_217510	1.66
TGGT1_246940	1.48
TGGT1_247550	1.1
TGGT1_247960	2.09
TGGT1_249250	1.57
TGGT1_251430	3.23
TGGT1_284310	6.4
TGGT1_221620	2.53
TGGT1_297070	3.39
TGGT1_253430	2.4
TGGT1_320170	1.94
TGGT1_320070	1.68
TGGT1_319920	1.02
TGGT1_318160	2.17
TGGT1_210690	1.19
TGGT1_301440	1.32
TGGT1_267140	1.95
TGGT1_266620	2.11
TGGT1_288830	2.28
TGGT1_306650	1.49
TGGT1_293300	9.2
TGGT1_294200	2.07
TGGT1_294250	1.75
TGGT1_220300	4.06
TGGT1_285680	2.91
TGGT1_239890	1.17
TGGT1_243400	8.59
TGGT1_230380	8.29
TGGT1_231140	-1.21
TGGT1_231640	2.79
TGGT1_233040	2.37
TGGT1_233100	1.05
TGGT1_233480	2.08
TGGT1_274060	1.96
TGGT1_271970	1.01
TGGT1_271930	1.91
TGGT1_270510	1.58
TGGT1_269980	1.64
TGGT1_269190	-1.05
TGGT1_268850	2.22
TGGT1_268835	-1.58
TGGT1_205330	6.66
TGGT1_261570	1.48
TGGT1_258730	-1.23
TGGT1_258410	1.95
TGGT1_255510	8.8
TGGT1_227620	2.11
TGGT1_225820	2.07
TGGT1_224960	5.44
TGGT1_236530	2.39
TGGT1_214790	-1.64
TGGT1_275440	1.89
TGGT1_310030	2.65
TGGT1_310070	3.35
TGGT1_310360	2.17
TGGT1_310790	5.98
TGGT1_311290	5.46
TGGT1_313290	1.07
TGGT1_216670	-1.64
TGGT1_300240	1.95
TGGT1_299780	2.79
TGGT1_219720	1.35
TGGT1_245680	2.43
TGGT1_247930	2.15
TGGT1_248390	-1.38
TGGT1_248700	2.11
TGGT1_221690	1.36
TGGT1_210800	3.17
TGGT1_266640	-1.05
TGGT1_266630	1.81
TGGT1_290030	1.72
TGGT1_305850	1.03
TGGT1_306290	6.16
TGGT1_293040	2.05
TGGT1_293690	-1.03
TGGT1_208530	1.39
TGGT1_220100	1.12
TGGT1_213280	6.36
TGGT1_285240	2.08
TGGT1_238010	1.81
TGGT1_238250	2.82
TGGT1_239100	-1.19
TGGT1_240060	2.12
TGGT1_243790	4.33
TGGT1_244200	-1.15
TGGT1_244440	11.32
TGGT1_230060	4.41
TGGT1_231160	3.22
TGGT1_233450	5.15
TGGT1_273930	1.93
TGGT1_273120	2.33
TGGT1_269885A	-1.51
TGGT1_268590	3.34
TGGT1_280580	1.14
TGGT1_280480	3.13
TGGT1_205350	2.13
TGGT1_205030	1.99
TGGT1_203600	2.47
TGGT1_263810	3.29
TGGT1_259000	1.6
TGGT1_258580	1.58
TGGT1_258130	2.12
TGGT1_228420	2.47
TGGT1_228320	4.69
TGGT1_227810	1.63
TGGT1_226860	7.17
TGGT1_225930	3.39
TGGT1_215430	-1.15
TGGT1_215680	3.07
TGGT1_310150	1.31
TGGT1_310420	10.65
TGGT1_310670	1.45
TGGT1_311470	-1.49
TGGT1_311480	1.1
TGGT1_312160	2.53
TGGT1_312820	-1.07
TGGT1_314100	2.07
TGGT1_316140	6.44
TGGT1_316340	2.53
TGGT1_316540	1.88
TGGT1_217010	-1.54
TGGT1_216610	2.09
TGGT1_218280	-1.05
TGGT1_245470	1.05
TGGT1_246000	3.71
TGGT1_248810	1.21
TGGT1_251840	5.61
TGGT1_276860	2.62
TGGT1_297400	2.81
TGGT1_252390	3.68
TGGT1_299050	1.19
TGGT1_320592	1.05
TGGT1_319530	7.99
TGGT1_301170	1.24
TGGT1_279390	1.26
TGGT1_267060	3.46
TGGT1_264440	1.87
TGGT1_288500	-1.07
TGGT1_288720	1.46
TGGT1_290950	-1.5
TGGT1_304890	6.92
TGGT1_306640	3.33
TGGT1_293510	2.91
TGGT1_208030	1.42
TGGT1_208790	3.18
TGGT1_220270	1.78
TGGT1_286530	-1.59
TGGT1_238040B	2.67
TGGT1_360500	2.45
TGGT1_239260	1.42
TGGT1_239490	1.29
TGGT1_242070	2.14
TGGT1_242290	1.25
TGGT1_243390	3.07
TGGT1_244110	1.96
TGGT1_230160	1.27
TGGT1_231630	3.06
TGGT1_231930	7.34
TGGT1_231998	2.39
TGGT1_232130	3.34
TGGT1_232350	-1.19
TGGT1_203330	3.97
TGGT1_202200	3
TGGT1_262690	1.89
TGGT1_261440	1.95
TGGT1_260260	1.51
TGGT1_259650	2.74
TGGT1_259270	6.1
TGGT1_259240	2.35
TGGT1_257060	1.47
TGGT1_255880	3.2
TGGT1_255260	2.65
TGGT1_228060	2.27
TGGT1_226250	1.02
TGGT1_223920	-1.12
TGGT1_234190	2.51
TGGT1_214320	1.18
TGGT1_215060	1.16
TGGT1_207140	6.56
TGGT1_309600	4.46
TGGT1_310490	1.8
TGGT1_312600	-1.04
TGGT1_313080	3.17
TGGT1_216010	4.76
TGGT1_219290	4.57
TGGT1_219170	1.89
TGGT1_217570	1.86
TGGT1_245450	1.12
TGGT1_246220	1.82
TGGT1_246580	2.8
