gene_id	utr5_length	utr5_n_uaugs	utr5_n_uorfs	utr5_n_oorfs	utr5_n_inframe_ext	utr5_kozak_score
TGME49_200010	491	6	6	0	0	0.6868758532
TGME49_200130	341	3	3	0	0	0.8212319001
TGME49_200250	375	2	2	0	0	0.8429439451
TGME49_200270	247	0				0.8429439451
TGME49_200280						
TGME49_200290	418	1	1	0	0	0.8256783536
TGME49_200310	141	1	0	1	0	0.8692175139
TGME49_200330	493	6	6	0	0	0.8439871803
TGME49_200340	931	17	16	1	0	0.7574820189
TGME49_200350	2027	35	34	1	0	0.5365234304
TGME49_200360	321	6	6	0	0	0.8751648272
TGME49_200370	427	8	8	0	0	0.8625673003
TGME49_200385	2715	37	36	1	0	0.5187669964
TGME49_200400	1098	5	4	0	1	0.6552202078
TGME49_200410	1373	14	12	2	0	0.7618585306
TGME49_200430	1131	9	9	0	0	0.7577867104
TGME49_200440	1230	9	9	0	0	0.4375302513
TGME49_200450	1011	14	14	0	0	0.3600894848
TGME49_200460	1756	18	18	0	0	0.8251181896
TGME49_200470	647	4	3	1	0	0.5855248507
TGME49_200590	301	1	1	0	0	0.8098906999
TGME49_200700	2340	38	38	0	0	0.8898666123
TGME49_201110	335	1	1	0	0	0.9632670342
TGME49_201120	1143	10	10	0	0	0.4152101083
TGME49_201130	1617	11	10	1	0	0.6090199859
TGME49_201140	480	1	1	0	0	0.9227509712
TGME49_201150	109	1	1	0	0	0.852071559
TGME49_201160	325	3	2	1	0	0.3943920336
TGME49_201170	288	0				0.6707188671
TGME49_201200	533	1	1	0	0	0.5331353134
TGME49_201220	1152	4	3	1	0	0.7358817675
TGME49_201230	1057	12	10	2	0	0.6383334577
TGME49_201250	868	2	2	0	0	0.4589097936
TGME49_201260	1708	21	20	1	0	0.5861664391
TGME49_201270	632	6	5	1	0	0.8758998111
TGME49_201380	144	0				0.4448895106
TGME49_201390	409	3	3	0	0	0.8133736784
TGME49_201400	1070	6	4	2	0	0.5469867608
TGME49_201520						
TGME49_201630	176	0				0.8312941195
TGME49_201670	1592	13	13	0	0	0.6345049309
TGME49_201680	910	1	0	1	0	0.8284574047
TGME49_201700	884	4	4	0	0	0.9813372263
TGME49_201710	422	0				0.6151071494
TGME49_201720	765	3	3	0	0	0.5054662144
TGME49_201740	901	12	10	2	0	0.904890361
TGME49_201760	392	2	2	0	0	0.3476690181
TGME49_201770	2181	12	11	1	0	0.5798201863
TGME49_201775	1050	13	13	0	0	0.7401950276
TGME49_201780	161	0				0.8248038302
TGME49_201790	1143	5	5	0	0	0.9031236206
TGME49_201800	421	1	1	0	0	0.8540984999
TGME49_201810	779	2	2	0	0	0.7774731724
TGME49_201830	92	0				0.5255153465
TGME49_201840	528	6	6	0	0	0.8475024984
TGME49_201860	178	2	2	0	0	0.8528621253
TGME49_201870	496	6	5	1	0	0.8371852845
TGME49_201880	326	2	2	0	0	0.8333511506
TGME49_201900	542	3	3	0	0	0.4278437319
TGME49_202010	1487	17	16	1	0	0.4197810456
TGME49_202020	2698	29	29	0	0	0.9032292821
TGME49_202040	1031	17	17	0	0	0.6859423193
TGME49_202065	1262	22	22	0	0	0.5234176276
TGME49_202070	618	5	4	1	0	0.8182221803
TGME49_202120	790	3	3	0	0	0.7665210331
TGME49_202140	453	3	3	0	0	0.808777141
TGME49_202160	294	1	1	0	0	0.9185068243
TGME49_202170	204	3	0	3	0	0.7505785168
TGME49_202180	143	2	1	1	0	0.7580793759
TGME49_202190	551	7	7	0	0	0.7663278419
TGME49_202200	1325	24	23	1	0	0.4212100099
TGME49_202220	508	3	2	1	0	0.9266777712
TGME49_202230	1318	17	17	0	0	0.4834118281
TGME49_202250	878	16	16	0	0	0.9148640235
TGME49_202255	518	6	6	0	0	0.8795984922
TGME49_202290	851	7	7	0	0	0.5269696184
TGME49_202300	552	7	6	1	0	0.6590799057
TGME49_202310	483	3	3	0	0	0.8631865292
TGME49_202350	274	0				0.4964405323
TGME49_202360	733	2	1	1	0	0.3315306466
TGME49_202370	439	0				0.845567865
TGME49_202375	2690	24	22	2	0	0.4473724771
TGME49_202380	107	0				0.9197852615
TGME49_202390	2307	34	33	1	0	0.9294898957
TGME49_202410	1173	4	4	0	0	0.8528800277
TGME49_202420	1228	14	12	2	0	0.8614669945
TGME49_202430	1110	12	11	1	0	0.3675239634
TGME49_202440	755	21	21	0	0	0.4011465462
TGME49_202450	374	2	1	1	0	0.8013861653
TGME49_202460	1809	19	19	0	0	0.6211716326
TGME49_202470	713	4	4	0	0	0.492422277
TGME49_202480	613	3	2	1	0	0.6752943857
TGME49_202490	1053	7	5	2	0	0.5633276227
TGME49_202500	276	1	1	0	0	0.8217798949
TGME49_202510	251	0				0.8047764081
TGME49_202520	1008	12	11	1	0	0.8214054406
TGME49_202530	450	4	4	0	0	0.5599681577
TGME49_202540	2080	10	10	0	0	0.5779294434
TGME49_202550	1494	10	9	1	0	0.9130787547
TGME49_202568	217	0				0.590546636
TGME49_202572						
TGME49_202580	264	0				0.8464197007
TGME49_202590	633	3	2	1	0	0.5772511536
TGME49_202610	1136	14	12	2	0	0.5146832824
TGME49_202620	578	5	4	1	0	0.6079531742
TGME49_202630	667	9	8	1	0	0.4054579675
TGME49_202650	1182	7	6	1	0	0.936956393
TGME49_202680	376	1	1	0	0	0.8377207399
TGME49_202690	1097	7	7	0	0	0.8903293576
TGME49_202730	708	15	15	0	0	0.8280641477
TGME49_202740	364	1	1	0	0	0.5933907588
TGME49_202750	1301	3	2	1	0	0.9229878017
TGME49_202760	506	1	1	0	0	0.7319469682
TGME49_202770	429	0				0.8606350458
TGME49_202780	3050	40	40	0	0	0.7470497118
TGME49_202790	425	2	1	1	0	0.9222205005
TGME49_202800	906	8	6	2	0	0.7164200712
TGME49_202810	982	1	1	0	0	0.8063635851
TGME49_202820	2074	17	17	0	0	0.8516325963
TGME49_202830	971	18	17	0	1	0.9097221831
TGME49_202840	1099	9	9	0	0	0.8873560344
TGME49_202860	1682	29	28	1	0	0.3455826475
TGME49_202870	898	2	0	0	2	0.9170208356
TGME49_202880	730	6	6	0	0	0.9646497822
TGME49_202890	786	7	7	0	0	0.9153315881
TGME49_202900	108	0				0.6479640966
TGME49_202910	47	0				0.8342463161
TGME49_202920	39	0				0.753684667
TGME49_202940	765	10	10	0	0	0.4465686473
TGME49_202950	1122	16	15	1	0	0.8318415884
TGME49_202960	717	7	7	0	0	0.5852043141
TGME49_202970	1129	14	14	0	0	0.7885061432
TGME49_202975	999	17	16	1	0	0.8325878349
TGME49_202980	350	6	3	3	0	0.5808471644
TGME49_203010	824	13	12	1	0	0.8419807507
TGME49_203030	801	8	8	0	0	0.5856207191
TGME49_203040	376	6	3	2	1	0.6994957927
TGME49_203050	2844	35	35	0	0	0.6215293347
TGME49_203060	733	9	9	0	0	0.876792814
TGME49_203080	309	2	2	0	0	0.7390932004
TGME49_203110	103	2	2	0	0	0.762676539
TGME49_203120	468	9	9	0	0	0.7884000864
TGME49_203150	1242	10	8	2	0	0.8522173653
TGME49_203160	891	11	11	0	0	0.8247122457
TGME49_203170	468	0				0.6968944818
TGME49_203180	1485	8	7	1	0	0.6361432525
TGME49_203220	1077	4	4	0	0	0.905732266
TGME49_203240	1012	5	5	0	0	0.8634100041
TGME49_203260	1321	7	6	1	0	0.4268823271
TGME49_203270	1049	14	13	1	0	0.4728921674
TGME49_203280	1069	3	3	0	0	0.8020491914
TGME49_203290	287	1	1	0	0	0.638662875
TGME49_203300	313	2	2	0	0	0.5128523231
TGME49_203310	203	1	1	0	0	0.9227215342
TGME49_203320	1326	16	13	3	0	0.8138056454
TGME49_203350	1159	14	14	0	0	0.9108188783
TGME49_203358	2109	15	15	0	0	0.9147380782
TGME49_203362	873	9	9	0	0	0.79437086
TGME49_203370	805	9	8	1	0	0.7836451548
TGME49_203380	2949	25	25	0	0	0.7447454259
TGME49_203390	1065	3	3	0	0	0.5978128839
TGME49_203400	447	2	1	0	1	0.7100693965
TGME49_203420	353	3	3	0	0	0.6269433935
TGME49_203450	893	3	1	0	2	0.8474500108
TGME49_203460	992	13	12	1	0	0.7820025091
TGME49_203480	857	5	5	0	0	0.8456668129
TGME49_203490	93	0				0.9409049223
TGME49_203510	925	10	10	0	0	0.6832454278
TGME49_203520	396	4	4	0	0	0.8525006451
TGME49_203540	2278	23	22	1	0	0.656251097
TGME49_203600	198	2	2	0	0	0.5116515171
TGME49_203610	536	5	5	0	0	0.5554682671
TGME49_203620	601	3	3	0	0	0.8747922365
TGME49_203630	76	0				0.9450426772
TGME49_203665	765	8	8	0	0	0.7194849269
TGME49_203690	1510	11	11	0	0	0.6407807857
TGME49_203700	834	5	5	0	0	0.861451843
TGME49_203705						
TGME49_203710	1317	12	12	0	0	0.7709965694
TGME49_203720	212	2	2	0	0	0.9241764298
TGME49_203730	619	5	5	0	0	0.8264729194
TGME49_203740	429	8	5	3	0	0.3519736632
TGME49_203750	1465	12	12	0	0	0.5667203838
TGME49_203760	710	4	4	0	0	0.8622046258
TGME49_203780	812	6	6	0	0	0.6619894923
TGME49_203790	420	7	7	0	0	0.5873571542
TGME49_203810	1798	20	20	0	0	0.8125402465
TGME49_203815	2541	38	37	1	0	0.5242806492
TGME49_203820	752	5	5	0	0	0.9724233689
TGME49_203830	1109	14	14	0	0	0.5151012812
TGME49_203840	712	4	4	0	0	0.9969008932
TGME49_203860	558	8	5	3	0	0.6181232786
TGME49_203870	584	1	0	1	0	0.9311259447
TGME49_203880	1928	19	19	0	0	0.6601225831
TGME49_203910	968	11	11	0	0	0.7323197347
TGME49_203930	1079	22	21	1	0	0.6268613474
TGME49_203950	644	7	6	1	0	0.7873341377
TGME49_203960	840	10	10	0	0	0.6693653994
TGME49_203970	869	2	2	0	0	0.8681192165
TGME49_203980	1014	7	7	0	0	0.5102365625
TGME49_203985	45	0				0.7557812268
TGME49_203990	3139	43	43	0	0	0.8454544223
TGME49_204010	209	1	1	0	0	0.5600445497
TGME49_204020	174	1	1	0	0	0.9532430553
TGME49_204040	567	11	10	1	0	0.8052778193
TGME49_204050	578	6	5	1	0	0.9426964703
TGME49_204060	1376	4	4	0	0	0.7117259225
TGME49_204070	933	2	1	1	0	0.6678194638
TGME49_204080	778	10	9	1	0	0.7818057303
TGME49_204090	2435	30	29	1	0	0.5142041213
TGME49_204100						
TGME49_204110	280	3	2	1	0	0.3428823703
TGME49_204120	863	6	6	0	0	0.8653224836
TGME49_204130	479	6	6	0	0	0.4136282944
TGME49_204160	1610	3	3	0	0	0.5907666274
TGME49_204270	274	1	1	0	0	0.528669531
TGME49_204280	1990	12	12	0	0	0.6898230853
TGME49_204310	1606	9	9	0	0	0.9819276253
TGME49_204320	1042	9	9	0	0	0.909441484
TGME49_204330						
TGME49_204340	422	6	6	0	0	0.7783279302
TGME49_204350	385	5	4	1	0	0.6299560353
TGME49_204360	1059	8	7	1	0	0.9571678869
TGME49_204370	743	4	4	0	0	0.8426076636
TGME49_204380	867	3	3	0	0	0.510129834
TGME49_204390	657	0				0.9219910083
TGME49_204400	211	0				0.9207453158
TGME49_204410	3277	26	26	0	0	0.8459638987
TGME49_204420	157	1	1	0	0	0.8436324443
TGME49_204440	1097	9	9	0	0	0.6687847726
TGME49_204480	632	3	3	0	0	0.7894100905
TGME49_204490	348	2	2	0	0	0.842262454
TGME49_204510	524	8	8	0	0	0.8324823367
TGME49_204530	292	3	3	0	0	0.8376867685
TGME49_204540	397	6	4	2	0	0.8484231497
TGME49_204550	796	17	16	1	0	0.4447288289
TGME49_204880	872	11	11	0	0	0.8203174674
TGME49_205000	503	6	3	3	0	0.8510018625
TGME49_205010	1321	13	13	0	0	0.9690713443
TGME49_205030	1018	7	7	0	0	0.5079247729
TGME49_205040	393	7	5	2	0	0.9534947312
TGME49_205060	1662	35	34	1	0	0.8511735196
TGME49_205100	520	3	3	0	0	0.5526531124
TGME49_205120	1585	13	11	2	0	0.9121021757
TGME49_205150	627	2	1	1	0	0.9233404937
TGME49_205170	396	5	5	0	0	0.8007074984
TGME49_205180	2327	28	27	1	0	0.913723298
TGME49_205190	1009	9	9	0	0	0.7548937205
TGME49_205200	2133	25	25	0	0	0.8074446922
TGME49_205220	1215	10	10	0	0	0.8373021533
TGME49_205230	148	1	0	1	0	0.6028063299
TGME49_205240	733	3	3	0	0	0.9089685054
TGME49_205250	50	0				0.3929075008
TGME49_205280	598	1	1	0	0	0.8903802826
TGME49_205290	1348	14	14	0	0	0.8221597135
TGME49_205300	955	3	3	0	0	0.8962860599
TGME49_205320	824	3	3	0	0	0.6893054281
TGME49_205330	296	1	1	0	0	0.9473122547
TGME49_205340	112	0				0.8552704078
TGME49_205350	567	4	4	0	0	0.8372647478
TGME49_205360	917	12	11	1	0	0.8780779734
TGME49_205370	525	4	3	1	0	0.5396058536
TGME49_205380	413	1	1	0	0	0.9598062759
TGME49_205390	339	4	3	1	0	0.4514254446
TGME49_205410	229	4	4	0	0	0.4095801697
TGME49_205430	231	3	2	1	0	0.8115863627
TGME49_205440	563	5	5	0	0	0.8199690809
TGME49_205460	729	10	9	1	0	0.9063828768
TGME49_205470	239	0				0.953152545
TGME49_205480	1330	17	17	0	0	0.672713234
TGME49_205490	878	10	10	0	0	0.9373830453
TGME49_205500	557	2	2	0	0	0.6603479707
TGME49_205510	977	1	1	0	0	0.6406797696
TGME49_205540	282	0				0.8424732268
TGME49_205550	1152	6	6	0	0	0.5848211217
TGME49_205558	147	0				0.8591403241
TGME49_205562	830	9	9	0	0	0.8983680629
TGME49_205570	664	5	5	0	0	0.6634856094
TGME49_205580	289	2	2	0	0	0.8679372394
TGME49_205600	1602	11	10	1	0	0.7251203979
TGME49_205615	342	4	4	0	0	0.740335298
TGME49_205625	825	5	4	1	0	0.6799821288
TGME49_205640	937	10	10	0	0	0.8510273762
TGME49_205650	1211	18	17	1	0	0.8006102511
TGME49_205670	980	3	2	1	0	0.8427765715
TGME49_205680	665	13	11	2	0	0.5914284109
TGME49_205690	680	11	11	0	0	0.7694045305
TGME49_205700	187	0				0.8535409207
TGME49_205710	333	0				0.4016167714
TGME49_205730	1235	13	13	0	0	0.8470847209
TGME49_205740	785	7	7	0	0	0.7679497741
TGME49_205750	501	7	7	0	0	0.8968514833
TGME49_206300	434	6	6	0	0	0.5984948436
TGME49_206310	663	7	7	0	0	0.90356805
TGME49_206320	425	3	3	0	0	0.7807441335
TGME49_206330	612	8	8	0	0	0.7481339302
TGME49_206340	885	9	9	0	0	0.8234249735
TGME49_206350	830	7	7	0	0	0.9028304946
TGME49_206360	1417	31	30	1	0	0.6031497604
TGME49_206380	1040	15	14	1	0	0.6692757057
TGME49_206390	669	9	8	1	0	0.5944431834
TGME49_206415	410	1	0	1	0	0.8494691527
TGME49_206430	311	2	1	1	0	0.7730018004
TGME49_206440	960	10	10	0	0	0.8626683164
TGME49_206450	589	3	2	1	0	0.3699549803
TGME49_206460	832	21	20	1	0	0.3735686542
TGME49_206470	598	2	2	0	0	0.903835843
TGME49_206480	699	5	5	0	0	0.679113468
TGME49_206490	556	3	3	0	0	0.7459542908
TGME49_206500	196	2	0	1	1	0.4355204965
TGME49_206510	780	2	1	1	0	0.8885982765
TGME49_206540	792	6	6	0	0	0.8652119475
TGME49_206580	725	5	4	1	0	0.8869279557
TGME49_206590	946	5	5	0	0	0.5210683054
TGME49_206600	365	1	0	1	0	0.5993845648
TGME49_206610	926	1	1	0	0	0.9851473941
TGME49_206630	889	14	11	3	0	0.3636228776
TGME49_206640	711	3	3	0	0	0.5982097117
TGME49_206670	921	6	5	1	0	0.9001164305
TGME49_206680	864	6	5	1	0	0.9211931625
TGME49_206690	340	2	2	0	0	0.8319325776
TGME49_206700	658	8	8	0	0	0.9306801393
TGME49_206710	727	3	3	0	0	0.6765463362
TGME49_207020	981	8	8	0	0	0.7520675809
TGME49_207060	404	1	0	1	0	0.9775121689
TGME49_207070	462	2	1	1	0	0.5430091175
TGME49_207080	1952	11	10	1	0	0.6003161931
TGME49_207100	1111	5	5	0	0	0.8931735379
TGME49_207120	846	6	6	0	0	0.8328625113
TGME49_207170	385	0				0.9301407081
TGME49_207180	688	10	8	2	0	0.4792100308
TGME49_207210	359	1	1	0	0	0.9272587582
TGME49_207230	587	7	6	1	0	0.9069880066
TGME49_207240	1268	10	10	0	0	0.8929837605
TGME49_207350	352	6	3	3	0	0.5285717733
TGME49_207370	973	4	4	0	0	0.6984027906
TGME49_207390	1149	8	7	1	0	0.5006517116
TGME49_207400	223	0				0.7473021607
TGME49_207403	22	1	0	1	0	0.4665741902
TGME49_207420	383	1	0	1	0	0.2819677477
TGME49_207430	495	1	1	0	0	0.7153943129
TGME49_207440	73	0				0.9168819403
TGME49_207450	751	4	4	0	0	0.9151953201
TGME49_207460	685	2	2	0	0	0.6412800964
TGME49_207590	460	7	4	3	0	0.830024062
TGME49_207620	672	3	2	1	0	0.9121455253
TGME49_207630	534	3	1	2	0	0.641197956
TGME49_207640	465	5	4	1	0	0.485566094
TGME49_207665	1103	13	12	0	1	0.8000777209
TGME49_207680	997	3	3	0	0	0.7734357024
TGME49_207690	936	7	7	0	0	0.8359210695
TGME49_207710	344	1	1	0	0	0.512131922
TGME49_207720	523	1	1	0	0	0.7104716856
TGME49_207750	852	10	10	0	0	0.47918126
TGME49_207760	1152	9	9	0	0	0.5163632296
TGME49_207770	1066	7	7	0	0	0.8539896708
TGME49_207790	25	0				0.8954306682
TGME49_207800	345	7	7	0	0	0.4943230422
