Gene ID	Genomic Sequence ID	Genomic Location (Gene)	Gene Strand	Gene Type
TGME49_200010	TGME49_chrXII	TGME49_chrXII:2,245,476..2,248,187(-)	reverse	protein coding gene
TGME49_200110	TGME49_chrXII	TGME49_chrXII:7,071,370..7,071,773(+)	forward	protein coding gene
TGME49_200130	TGME49_chrXII	TGME49_chrXII:7,033,492..7,035,777(+)	forward	protein coding gene
TGME49_200230	TGME49_chrVIII	TGME49_chrVIII:6,753,611..6,755,422(-)	reverse	protein coding gene
TGME49_200240	TGME49_chrVIII	TGME49_chrVIII:6,757,441..6,758,931(-)	reverse	protein coding gene
TGME49_200250	TGME49_chrVIII	TGME49_chrVIII:6,760,140..6,762,383(-)	reverse	protein coding gene
TGME49_200260	TGME49_chrVIII	TGME49_chrVIII:6,764,706..6,765,800(+)	forward	protein coding gene
TGME49_200270	TGME49_chrVIII	TGME49_chrVIII:6,766,719..6,768,513(+)	forward	protein coding gene
TGME49_200280	TGME49_chrVIII	TGME49_chrVIII:6,769,906..6,772,752(-)	reverse	protein coding gene
TGME49_200290	TGME49_chrVIII	TGME49_chrVIII:6,774,898..6,778,962(+)	forward	protein coding gene
TGME49_200310	TGME49_chrVIII	TGME49_chrVIII:6,793,066..6,795,502(-)	reverse	protein coding gene
TGME49_200320	TGME49_chrVIII	TGME49_chrVIII:6,795,849..6,798,931(+)	forward	protein coding gene
TGME49_200320	TGME49_chrVIII	TGME49_chrVIII:6,795,849..6,798,931(+)	forward	protein coding gene
TGME49_200320	TGME49_chrVIII	TGME49_chrVIII:6,795,849..6,798,931(+)	forward	protein coding gene
TGME49_200320	TGME49_chrVIII	TGME49_chrVIII:6,795,849..6,798,931(+)	forward	protein coding gene
TGME49_200330	TGME49_chrVIII	TGME49_chrVIII:6,803,584..6,810,351(-)	reverse	protein coding gene
TGME49_200340	TGME49_chrVIII	TGME49_chrVIII:6,811,561..6,813,899(-)	reverse	protein coding gene
TGME49_200350	TGME49_chrVIII	TGME49_chrVIII:6,813,964..6,821,727(+)	forward	protein coding gene
TGME49_200360	TGME49_chrVIII	TGME49_chrVIII:6,824,308..6,825,403(+)	forward	protein coding gene
TGME49_200370	TGME49_chrVIII	TGME49_chrVIII:6,825,484..6,831,459(-)	reverse	protein coding gene
TGME49_200385	TGME49_chrVIII	TGME49_chrVIII:6,832,904..6,847,548(-)	reverse	protein coding gene
TGME49_200400	TGME49_chrVIII	TGME49_chrVIII:6,849,854..6,864,271(-)	reverse	protein coding gene
TGME49_200410	TGME49_chrVIII	TGME49_chrVIII:6,867,383..6,872,225(-)	reverse	protein coding gene
TGME49_200430	TGME49_chrVIII	TGME49_chrVIII:6,873,050..6,881,609(-)	reverse	protein coding gene
TGME49_200440	TGME49_chrVIII	TGME49_chrVIII:6,881,942..6,888,409(+)	forward	protein coding gene
TGME49_200450	TGME49_chrVIII	TGME49_chrVIII:6,889,255..6,898,068(-)	reverse	protein coding gene
TGME49_200460	TGME49_chrVIII	TGME49_chrVIII:6,899,386..6,908,121(-)	reverse	protein coding gene
TGME49_200470	TGME49_chrVIII	TGME49_chrVIII:6,908,284..6,913,937(+)	forward	protein coding gene
TGME49_200480	TGME49_chrVIII	TGME49_chrVIII:6,916,849..6,917,687(+)	forward	protein coding gene
TGME49_200590	TGME49_chrX	TGME49_chrX:71,897..76,300(-)	reverse	protein coding gene
TGME49_200595	TGME49_chrX	TGME49_chrX:78,447..81,019(-)	reverse	protein coding gene
TGME49_200600	TGME49_chrX	TGME49_chrX:81,465..82,808(+)	forward	protein coding gene
TGME49_200700	TGME49_chrX	TGME49_chrX:12,199..12,618(-)	reverse	protein coding gene
TGME49_201100	TGME49_chrVIIa	TGME49_chrVIIa:4,042,782..4,044,561(-)	reverse	protein coding gene
TGME49_201110	TGME49_chrVIIa	TGME49_chrVIIa:4,039,322..4,041,566(-)	reverse	protein coding gene
TGME49_201120	TGME49_chrVIIa	TGME49_chrVIIa:4,028,194..4,037,686(+)	forward	protein coding gene
TGME49_201130	TGME49_chrVIIa	TGME49_chrVIIa:4,019,644..4,026,659(+)	forward	protein coding gene
TGME49_201140	TGME49_chrVIIa	TGME49_chrVIIa:4,007,982..4,017,415(+)	forward	protein coding gene
TGME49_201150	TGME49_chrVIIa	TGME49_chrVIIa:3,994,082..4,005,560(+)	forward	protein coding gene
TGME49_201160	TGME49_chrVIIa	TGME49_chrVIIa:3,992,824..3,993,845(-)	reverse	protein coding gene
TGME49_201170	TGME49_chrVIIa	TGME49_chrVIIa:3,990,181..3,992,821(-)	reverse	protein coding gene
TGME49_201180	TGME49_chrVIIa	TGME49_chrVIIa:3,982,746..3,988,730(-)	reverse	protein coding gene
TGME49_201200	TGME49_chrVIIa	TGME49_chrVIIa:3,976,668..3,981,273(+)	forward	protein coding gene
TGME49_201210	TGME49_chrVIIa	TGME49_chrVIIa:3,971,965..3,976,534(-)	reverse	protein coding gene
TGME49_201220	TGME49_chrVIIa	TGME49_chrVIIa:3,960,592..3,970,794(-)	reverse	protein coding gene
TGME49_201230	TGME49_chrVIIa	TGME49_chrVIIa:3,951,134..3,959,758(+)	forward	protein coding gene
TGME49_201240	TGME49_chrVIIa	TGME49_chrVIIa:3,947,168..3,950,847(-)	reverse	protein coding gene
TGME49_201250	TGME49_chrVIIa	TGME49_chrVIIa:3,937,763..3,946,531(+)	forward	protein coding gene
TGME49_201260	TGME49_chrVIIa	TGME49_chrVIIa:3,927,222..3,935,763(-)	reverse	protein coding gene
TGME49_201270	TGME49_chrVIIa	TGME49_chrVIIa:3,917,877..3,925,271(-)	reverse	protein coding gene
TGME49_201380	TGME49_chrVIIa	TGME49_chrVIIa:3,911,587..3,917,893(+)	forward	protein coding gene
TGME49_201390	TGME49_chrVIIa	TGME49_chrVIIa:3,908,769..3,911,287(-)	reverse	protein coding gene
TGME49_201400	TGME49_chrVIIa	TGME49_chrVIIa:3,900,223..3,907,864(-)	reverse	protein coding gene
TGME49_201520	TGME49_chrVIIa	TGME49_chrVIIa:3,893,030..3,898,407(+)	forward	protein coding gene
TGME49_201630	TGME49_chrVIIa	TGME49_chrVIIa:3,885,849..3,891,351(+)	forward	protein coding gene
TGME49_201660	TGME49_chrVIIa	TGME49_chrVIIa:3,868,786..3,871,788(-)	reverse	protein coding gene
TGME49_201670	TGME49_chrVIIa	TGME49_chrVIIa:3,863,499..3,869,008(+)	forward	protein coding gene
TGME49_201680	TGME49_chrVIIa	TGME49_chrVIIa:3,853,249..3,863,340(+)	forward	protein coding gene
TGME49_201690	TGME49_chrVIIa	TGME49_chrVIIa:3,846,373..3,851,218(-)	reverse	protein coding gene
TGME49_201700	TGME49_chrVIIa	TGME49_chrVIIa:3,840,124..3,845,222(-)	reverse	protein coding gene
TGME49_201710	TGME49_chrVIIa	TGME49_chrVIIa:3,834,171..3,839,695(+)	forward	protein coding gene
TGME49_201720	TGME49_chrVIIa	TGME49_chrVIIa:3,829,970..3,834,066(-)	reverse	protein coding gene
