Gene ID	Epitope Count	Confidence
TGME49_201780	4	High
TGME49_201840	1	Medium
TGME49_202680	1	Medium
TGME49_203310	24	High
TGME49_203600	1	High
TGME49_204130	2	High
TGME49_204530	1	High
TGME49_204870	1	Medium
TGME49_205010	1	High
TGME49_205250	18	High
TGME49_205510	2	High
TGME49_206350	1	High
TGME49_207130	2	Low
TGME49_207140	5	High
TGME49_207150	3	High
TGME49_207160	9	High
TGME49_207730	1	Medium
TGME49_207840	5	High
TGME49_208030	2	High
TGME49_209270	1	High
TGME49_209290	2	Medium
TGME49_209910	1	High
TGME49_210690	2	High
TGME49_210810	2	High
TGME49_212240	5	Medium
TGME49_212290	3	Medium
TGME49_212300	3	High
TGME49_212950	1	Medium
TGME49_213810	1	High
TGME49_214940	4	High
TGME49_215060	1	Medium
TGME49_215220	1	Medium
TGME49_215260	1	High
TGME49_215470	1	High
TGME49_215775	9	Low
TGME49_215785	9	Medium
TGME49_215980	1	High
TGME49_218220	2	High
TGME49_218260	3	Medium
TGME49_218520	3	High
TGME49_218560	1	Medium
TGME49_218800	1	Low
TGME49_219540	3	High
TGME49_219820	2	Medium
TGME49_219850	2	High
TGME49_220490	1	High
TGME49_220950	1	Medium
TGME49_221620	4	Medium
TGME49_222170	3	Medium
TGME49_222200	1	High
TGME49_223680	2	High
TGME49_226660	1	High
TGME49_226790	1	Medium
TGME49_227280	14	High
TGME49_227620	23	High
TGME49_228630	1	High
TGME49_229010	1	High
TGME49_229360	3	High
TGME49_229630	1	High
TGME49_229990	2	Medium
TGME49_231140	2	High
TGME49_231430	1	High
TGME49_231960	1	High
TGME49_231970	6	High
TGME49_232080	1	High
TGME49_232440	1	High
TGME49_233010	5	Medium
TGME49_233450	1	High
TGME49_233460	45	Medium
TGME49_233480	1	Medium
TGME49_233520	1	Medium
TGME49_239020	1	Low
TGME49_239260	3	High
TGME49_239820	1	High
TGME49_240060	2	Medium
TGME49_240650	1	Medium
TGME49_240870	1	Medium
TGME49_242070	1	High
TGME49_242625	1	Medium
TGME49_243298	1	Low
TGME49_243460	1	High
TGME49_244470	1	High
TGME49_245490	3	Medium
TGME49_248340	2	Medium
TGME49_248670	1	High
TGME49_248850	1	Medium
TGME49_249260	1	Medium
TGME49_249530	1	High
TGME49_249810	1	Medium
TGME49_249990	2	High
TGME49_250770	1	Medium
TGME49_250880	1	Medium
TGME49_251780	15	Low
TGME49_251810	1	High
TGME49_254720	1	Low
TGME49_255260	4	High
TGME49_257080	1	High
TGME49_257180	1	High
TGME49_258230	1	High
TGME49_258400	1	High
TGME49_258550	1	High
TGME49_258580	1	High
TGME49_258870	5	Medium
TGME49_258930	4	High
TGME49_259020	3	Medium
TGME49_259550	1	High
TGME49_260310	2	Medium
TGME49_261240	3	High
TGME49_261580	1	High
TGME49_261950	8	High
TGME49_262730	13	High
TGME49_262860	1	Medium
TGME49_263090	1	Medium
TGME49_266060	1	High
TGME49_266960	5	High
TGME49_266970	1	High
TGME49_267080	4	Medium
TGME49_267350	4	High
TGME49_267410	1	High
TGME49_267540	1	High
TGME49_268590	1	Medium
TGME49_268790	1	High
TGME49_268850	1	High
TGME49_268860	1	Medium
TGME49_268900	10	Medium
TGME49_269190	5	High
TGME49_269690	5	High
TGME49_269950	2	High
TGME49_270240	5	High
TGME49_270250	3	High
TGME49_270330	1	Medium
TGME49_270510	6	High
TGME49_271050	3	Medium
TGME49_273520	3	High
TGME49_273760	15	Medium
TGME49_273870	1	High
TGME49_275440	33	High
TGME49_275470	3	High
TGME49_275810	4	High
TGME49_276140	2	Medium
TGME49_277240	4	Medium
TGME49_277270	5	Medium
TGME49_278080	11	High
TGME49_278660	1	Medium
TGME49_279100	2	Medium
TGME49_279390	2	Medium
TGME49_280570	1	High
TGME49_284560	1	High
TGME49_286420	13	Medium
TGME49_286450	5	High
TGME49_288360	2	High
TGME49_288380	2	High
TGME49_288650	8	High
