Gene ID	Number of transcript models
TGME49_500039	1
TGME49_500025	1
TGME49_500032	1
TGME49_500036	1
TGME49_500254	2
TGME49_500263	1
TGME49_500271	1
TGME49_500276	1
TGME49_500284	3
TGME49_500304	1
TGME49_200350	1
TGME49_200385	2
TGME49_201110	1
TGME49_201260	2
TGME49_201780	9
TGME49_202580	2
TGME49_202610	1
TGME49_202770	3
TGME49_202830	5
TGME49_203180	1
TGME49_203540	2
TGME49_203690	1
TGME49_203790	2
TGME49_203880	1
TGME49_203980	2
TGME49_204050	14
TGME49_204130	1
TGME49_204160	1
TGME49_204340	4
TGME49_204400	1
TGME49_204530	10
TGME49_205170	2
TGME49_205350	2
TGME49_205470	2
TGME49_205490	1
TGME49_205670	2
TGME49_206380	1
TGME49_206430	1
TGME49_206450	2
TGME49_206510	2
TGME49_206540	2
TGME49_206590	1
TGME49_207440	1
TGME49_208010	1
TGME49_208370	3
TGME49_208450	3
TGME49_208450	3
TGME49_208740	5
TGME49_209000	1
TGME49_209260	1
TGME49_209280	1
TGME49_209860	1
TGME49_209890	1
TGME49_209950	2
TGME49_210690	1
TGME49_210700	1
TGME49_211020	1
TGME49_211250	1
TGME49_211420	2
TGME49_211420	2
TGME49_211650	1
TGME49_211680	1
TGME49_211850	1
TGME49_212270	2
TGME49_212300	2
TGME49_212880	1
TGME49_213050	1
TGME49_213072	1
TGME49_213610	3
TGME49_213610	3
TGME49_214220	4
TGME49_214320	1
TGME49_214385	1
TGME49_214480	1
TGME49_214940	7
TGME49_214990	1
TGME49_215220	1
TGME49_215450	1
TGME49_215490	1
TGME49_216650	2
TGME49_216820	3
TGME49_216880	1
TGME49_217510	3
TGME49_217530	1
TGME49_217540	4
TGME49_217550	2
TGME49_217660	1
TGME49_217680	2
TGME49_218200	1
TGME49_218730	2
TGME49_218740	1
TGME49_218960	1
TGME49_219120	1
TGME49_219230	1
TGME49_219260	1
TGME49_219600	1
TGME49_219690	1
TGME49_219810	2
TGME49_220400	1
TGME49_500040	1
TGME49_500076	1
TGME49_500096	1
TGME49_500148	1
TGME49_500174	4
TGME49_500198	1
TGME49_500213	1
TGME49_500225	5
TGME49_500327	1
TGME49_500389	1
TGME49_500422	1
TGME49_500435	1
TGME49_200130	1
TGME49_200290	3
TGME49_201380	1
TGME49_201520	1
TGME49_201700	1
TGME49_201840	1
TGME49_202310	1
TGME49_202530	1
TGME49_202568	1
TGME49_202800	1
TGME49_203060	5
TGME49_203160	1
TGME49_203320	1
TGME49_203510	1
TGME49_203820	1
TGME49_203910	1
TGME49_204020	2
TGME49_204280	2
TGME49_204360	1
TGME49_204480	1
TGME49_205010	1
TGME49_205040	1
TGME49_205280	1
TGME49_205460	1
TGME49_205680	2
TGME49_206470	1
TGME49_206670	2
TGME49_207180	1
TGME49_207620	1
TGME49_208718	1
TGME49_208790	1
TGME49_208800	1
TGME49_209250	1
TGME49_209910	1
TGME49_210300	1
TGME49_211290	3
TGME49_211630	3
TGME49_211700	1
TGME49_211890	1
TGME49_213325	1
TGME49_214230	1
TGME49_214440	2
TGME49_215150	1
TGME49_215350	1
TGME49_215910	2
TGME49_216430	1
TGME49_216860	1
TGME49_216910	3
TGME49_216930	1
TGME49_217490	1
TGME49_217555	1
TGME49_217560	1
TGME49_218240	1
TGME49_218410	3
TGME49_218550	2
TGME49_218570	1
TGME49_219310	1
TGME49_219320	1
TGME49_219730	1
TGME49_219800	1
TGME49_220380	1
TGME49_220390	1
TGME49_220500	1
TGME49_220600	1
TGME49_220630	1
TGME49_220950	1
TGME49_221180	1
TGME49_221210	1
TGME49_221295	1
TGME49_221380	2
TGME49_221470	1
TGME49_221480	2
TGME49_221580	1
TGME49_221590	2
TGME49_221675	2
TGME49_221720	1
TGME49_221870	1
TGME49_221910	2
TGME49_221910	2
TGME49_222110	1
TGME49_222120	1
TGME49_222220	4
TGME49_222230	1
TGME49_222400	1
TGME49_223070	1
TGME49_223080	1
TGME49_223470	1
TGME49_223485	1
TGME49_223610	1
TGME49_223660	3
TGME49_223750	1
TGME49_223790	1
TGME49_223880	1
TGME49_223985	1
TGME49_224090	1
TGME49_224110	2
TGME49_224220	1
TGME49_224260	1
TGME49_224330	1
TGME49_224460	5
TGME49_224520	2
TGME49_224530	1
TGME49_224610	1
TGME49_224850	1
TGME49_224870	1
TGME49_225080	1
TGME49_225105	1
TGME49_225110	1
TGME49_225120	4
TGME49_225150	1
TGME49_225170	3
TGME49_225340	1
TGME49_225490	1
TGME49_225510	1
TGME49_225540	1
TGME49_225560	4
TGME49_225790	3
TGME49_225930	1
TGME49_226020	5
TGME49_226030	1
TGME49_226060	1
TGME49_226072	2
TGME49_226410	1
TGME49_226540	1
TGME49_226560	1
TGME49_226580	1
TGME49_226660	1
TGME49_226830	1
TGME49_227150	1
TGME49_227290	1
TGME49_227335	1
TGME49_227360	3
TGME49_227450	1
TGME49_227580	2
TGME49_227620	4
TGME49_227920	1
TGME49_228070	1
TGME49_228110	1
TGME49_228120	2
TGME49_228150	1
TGME49_228170	1
TGME49_228180	1
TGME49_228230	2
TGME49_228470	2
TGME49_228730	1
TGME49_228770	1
TGME49_229000	1
TGME49_229010	2
TGME49_229630	2
TGME49_229640	1
TGME49_229930	1
TGME49_230160	3
TGME49_230180	15
TGME49_230180	15
TGME49_230210	1
TGME49_230705	1
TGME49_230940	1
TGME49_231010	1
TGME49_231140	1
TGME49_231160	1
TGME49_231380	1
TGME49_231440	1
TGME49_231630	1
TGME49_231850	2
TGME49_231950	3
TGME49_231970	1
TGME49_232030	1
TGME49_232130	2
TGME49_232250	5
TGME49_232340	1
TGME49_232440	1
TGME49_232590	1
TGME49_232600	1
TGME49_232670	4
TGME49_232710	1
TGME49_232830	2
TGME49_232940	3
TGME49_232960	1
TGME49_233020	1
TGME49_233080	1
TGME49_233160	2
TGME49_233220	1
TGME49_233360	2
TGME49_233380	1
TGME49_233480	1
TGME49_233500	2
TGME49_233710	1
TGME49_233770	2
TGME49_233810	1
TGME49_234180	1
TGME49_234190	1
TGME49_234450	1
TGME49_234450	1
TGME49_234640	1
TGME49_234900	1
TGME49_234950	1
TGME49_235140	3
TGME49_235450	1
TGME49_235470	2
TGME49_235700	2
TGME49_235930	6
TGME49_236040	2
TGME49_236130	1
TGME49_236540	1
TGME49_236580	1
TGME49_236650	4
TGME49_236920	1
TGME49_237090	1
TGME49_237150	1
TGME49_237230	2
TGME49_237600	2
TGME49_238020	1
TGME49_238050	1
TGME49_238100	1
TGME49_238240	1
TGME49_238895	1
TGME49_239100	1
TGME49_239250	1
TGME49_239270	1
TGME49_239420	2
TGME49_239490	2
TGME49_239760	1
TGME49_239780	1
TGME49_239820	1
TGME49_239890	2
TGME49_239910	1
TGME49_240580	1
TGME49_240910	1
TGME49_240960	1
TGME49_241180	1
TGME49_241240	5
TGME49_242070	2
