Gene ID	EC numbers
TGME49_200010	N/A
TGME49_200110	N/A
TGME49_200130	N/A
TGME49_200230	N/A
TGME49_200240	N/A
TGME49_200250	N/A
TGME49_200260	N/A
TGME49_200270	N/A
TGME49_200280	N/A
TGME49_200290	3.4.21.105 (Rhomboid protease)
TGME49_200310	N/A
TGME49_200320	2.4.2.8 (Hypoxanthine phosphoribosyltransferase)
TGME49_200320	2.4.2.8 (Hypoxanthine phosphoribosyltransferase)
TGME49_200320	2.4.2.8 (Hypoxanthine phosphoribosyltransferase)
TGME49_200320	2.4.2.8 (Hypoxanthine phosphoribosyltransferase)
TGME49_200330	N/A
TGME49_200340	N/A
TGME49_200350	3.4.21.62 (Subtilisin)
TGME49_200360	N/A
TGME49_200370	2.5.1.58 (Protein farnesyltransferase)
TGME49_200385	N/A
TGME49_200400	N/A
TGME49_200410	N/A
TGME49_200430	3.5.4.12 (dCMP deaminase)
TGME49_200440	N/A
TGME49_200450	N/A
TGME49_200460	N/A
TGME49_200470	N/A
TGME49_200480	N/A
TGME49_200590	N/A
TGME49_200595	N/A
TGME49_200600	N/A
TGME49_200700	N/A
TGME49_201100	N/A
TGME49_201110	N/A
TGME49_201120	N/A
TGME49_201130	N/A
TGME49_201140	N/A
TGME49_201150	3.6.3.4 (Transferred entry: 7.2.2.9);3.6.3.8 (Transferred entry: 7.2.2.10)
TGME49_201160	N/A
TGME49_201170	N/A
TGME49_201180	N/A
TGME49_201200	N/A
TGME49_201210	N/A
TGME49_201220	N/A
TGME49_201230	N/A
TGME49_201240	N/A
TGME49_201250	N/A
TGME49_201260	N/A
TGME49_201270	N/A
TGME49_201380	4.2.3.5 (Chorismate synthase)
TGME49_201390	N/A
TGME49_201400	N/A
TGME49_201520	3.1.3.16 (Protein-serine/threonine phosphatase)
TGME49_201630	3.1.3.16 (Protein-serine/threonine phosphatase)
TGME49_201660	N/A
TGME49_201670	N/A
TGME49_201680	N/A
TGME49_201690	N/A
TGME49_201700	2.3.1.48 (Histone acetyltransferase)
TGME49_201710	2.3.1.48 (Histone acetyltransferase)
TGME49_201720	N/A
TGME49_201730	N/A
TGME49_201740	N/A
TGME49_201750	N/A
TGME49_201760	N/A
TGME49_201770	N/A
TGME49_201775	N/A
TGME49_201780	N/A
TGME49_201785	N/A
TGME49_201790	N/A
TGME49_201800	N/A
TGME49_201810	N/A
TGME49_201820	N/A
TGME49_201830	N/A
TGME49_201840	3.4.23.5 (Cathepsin D)
TGME49_201850	2.3.1.48 (Histone acetyltransferase)
TGME49_201860	N/A
TGME49_201870	N/A
TGME49_201880	N/A
TGME49_201900	N/A
TGME49_202010	N/A
TGME49_202020	N/A
TGME49_202040	N/A
TGME49_202050	N/A
TGME49_202065	N/A
TGME49_202070	N/A
TGME49_202080	N/A
TGME49_202090	N/A
TGME49_202100	N/A
TGME49_202110	N/A
TGME49_202120	N/A
TGME49_202140	4.2.1.18 (Methylglutaconyl-CoA hydratase)
TGME49_202160	N/A
TGME49_202170	N/A
TGME49_202180	N/A
TGME49_202190	N/A
TGME49_202200	N/A
TGME49_202205	N/A
TGME49_202210	2.7.4.6 (Nucleoside-diphosphate kinase)
TGME49_202220	N/A
TGME49_202230	3.5.1.98 (Histone deacetylase)
TGME49_202240	N/A
TGME49_202250	N/A
TGME49_202255	N/A
TGME49_202285	N/A
TGME49_202290	N/A
TGME49_202300	3.6.1.19 (Transferred entry: 3.6.1.9)
TGME49_202310	3.4.24.57 (O-sialoglycoprotein endopeptidase)
TGME49_202320	N/A
TGME49_202330	N/A
TGME49_202340	1.5.99.8 (Transferred entry: 1.5.5.2)
TGME49_202350	N/A
TGME49_202360	N/A
TGME49_202370	N/A
TGME49_202375	N/A
TGME49_202380	N/A
TGME49_202390	N/A
TGME49_202400	N/A
TGME49_202410	N/A
TGME49_202420	N/A
TGME49_202430	N/A
TGME49_202440	N/A
TGME49_202445	N/A
TGME49_202450	N/A
TGME49_202460	2.7.1.107 (Diacylglycerol kinase (ATP))
TGME49_202470	N/A
TGME49_202480	N/A
TGME49_202490	N/A
TGME49_202500	N/A
TGME49_202510	N/A
TGME49_202520	N/A
